排名,排名1,学校
1,1,北京大学
2,2,清华大学
3,3,复旦大学
4,4,武汉大学
5,5,浙江大学
6,6,中国人民大学
7,7,上海交通大学
8,8,南京大学
9,9,国防科学技术大学
10,10,中山大学
11,11,吉林大学
12,12,中国科学技术大学
13,13,华中科技大学
14,14,四川大学
15,15,北京师范大学
16,16,南开大学
17,17,西安交通大学
18,18,中南大学
19,19,同济大学
20,20,天津大学
21,21,哈尔滨工业大学
22,21,山东大学
23,23,厦门大学
24,24,东南大学
25,25,北京航空航天大学
26,26,东北大学
27,27,重庆大学
28,28,华东师范大学
29,29,大连理工大学
30,30,北京理工大学
31,31,华南理工大学
32,32,中国农业大学
33,33,湖南大学
34,34,华中师范大学
35,35,西北工业大学
36,36,兰州大学
37,37,电子科技大学
38,38,武汉理工大学
39,39,中国地质大学
40,40,东北师范大学
41,41,北京科技大学
42,42,中国矿业大学
43,42,北京交通大学
44,42,长安大学
45,45,北京协和医学院
46,46,南京农业大学
47,47,西北大学
48,48,华东理工大学
49,49,华中农业大学
50,50,南京师范大学
51,51,西南交通大学
52,52,西南大学
53,53,中国海洋大学
54,54,河海大学
55,55,解放军信息工程大学
56,56,南京理工大学
57,57,哈尔滨工程大学
58,58,暨南大学
59,59,云南大学
60,60,中国石油大学
61,61,南京航空航天大学
62,62,郑州大学
63,63,苏州大学
64,64,上海财经大学
65,65,西北农林科技大学
66,66,中国政法大学
67,67,合肥工业大学
68,68,北京邮电大学
69,69,西安电子科技大学
70,70,第三军医大学
71,71,第二军医大学
72,72,湖南师范大学
73,73,第四军医大学
74,74,华南师范大学
75,75,上海大学
76,76,中南财经政法大学
77,77,西南财经大学
78,78,北京化工大学
79,79,东华大学
80,80,南昌大学
81,81,解放军理工大学
82,82,中央财经大学
83,83,北京工业大学
84,83,福州大学
85,83,广西大学
86,86,陕西师范大学
87,87,深圳大学
88,88,北京林业大学
89,89,中央民族大学
90,90,对外经济贸易大学
91,90,燕山大学
92,92,首都师范大学
93,93,华北电力大学
94,93,浙江工业大学
95,95,华南农业大学
96,96,浙江师范大学
97,97,安徽大学
98,98,首都医科大学
99,99,江南大学
100,100,山西大学
101,101,太原理工大学
102,101,东北林业大学
103,101,河南大学
104,104,福建师范大学
105,105,杭州电子科技大学
106,106,内蒙古大学
107,107,天津师范大学
108,107,河北大学
109,109,南京工业大学
110,110,辽宁大学
111,111,新疆大学
112,112,南方医科大学
113,113,上海理工大学
114,114,海南大学
115,115,东北财经大学
116,116,昆明理工大学
117,116,石河子大学
118,118,成都理工大学
119,119,北京中医药大学
120,120,安徽师范大学
121,121,天津医科大学
122,122,黑龙江大学
123,123,汕头大学
124,124,中国药科大学
125,124,湘潭大学
126,126,江苏大学
127,127,贵州大学
128,127,扬州大学
129,129,西南政法大学
130,130,河北工业大学
131,131,东北农业大学
132,131,四川农业大学
133,133,福建农林大学
134,134,宁波大学
135,135,山东师范大学
136,136,上海师范大学
137,137,西安建筑科技大学
138,138,大连海事大学
139,139,哈尔滨医科大学
140,140,宁夏大学
141,141,西北师范大学
142,142,湖北大学
143,143,西安理工大学
144,143,广西师范大学
145,143,中国医科大学
146,146,南京邮电大学
147,146,青岛大学
148,148,江西师范大学
149,149,河南农业大学
150,149,湖南农业大学
151,149,河北师范大学
152,152,江西财经大学
153,153,首都经济贸易大学
154,153,长春理工大学
155,155,山东农业大学
156,156,广州中医药大学
157,157,广东工业大学
158,157,南京林业大学
159,159,重庆医科大学
160,159,广东外语外贸大学
161,161,延边大学
162,162,上海中医药大学
163,162,南京医科大学
164,164,华侨大学
165,165,中北大学
166,166,山东科技大学
167,166,西藏大学
168,168,长沙理工大学
169,168,天津工业大学
170,170,河南理工大学
171,171,北京语言大学
172,172,河北农业大学
173,173,云南师范大学
174,174,哈尔滨理工大学
175,175,武汉科技大学
176,176,辽宁工程技术大学
177,176,广州大学
178,178,兰州交通大学
179,178,河南师范大学
180,178,南京中医药大学
181,181,华东政法大学
182,182,青岛科技大学
183,183,东北电力大学
184,183,西南石油大学
185,185,杭州师范大学
186,186,青海大学
187,187,安徽理工大学
188,188,浙江理工大学
189,189,河南工业大学
190,190,沈阳农业大学
191,191,东北石油大学
192,191,中南民族大学
193,191,哈尔滨师范大学
194,194,内蒙古农业大学
195,194,天津中医药大学
196,194,温州医科大学
197,197,云南民族大学
198,198,济南大学
199,199,中国计量学院
200,200,浙江工商大学
