排名,学校
1,清华大学
2,北京大学
3,浙江大学
4,上海交通大学
5,武汉大学
6,华中科技大学
7,南京大学
8,复旦大学
9,四川大学
10,中山大学
11,吉林大学
13,西安交通大学
14,中南大学
15,山东大学
16,东南大学
17,中国科学技术大学
18,中国人民大学
19,天津大学
20,华南理工大学
21,同济大学
22,苏州大学
23,北京航空航天大学
24,北京师范大学
25,湖南大学
26,重庆大学
27,西北工业大学
28,南开大学
29,厦门大学
30,大连理工大学
31,华东师范大学
32,北京理工大学
33,郑州大学
34,电子科技大学
35,中国农业大学
36,武汉理工大学
37,兰州大学
38,江苏大学
39,西北农林科技大学
40,西南大学
41,上海大学
42,南京航空航天大学
43,南京理工大学
44,东北大学
45,江南大学
46,南京农业大学
47,北京科技大学
48,西南交通大学
49,华东理工大学
50,河海大学
51,西安电子科技大学
52,华北电力大学
53,暨南大学
54,南昌大学
55,南京师范大学
56,中国矿业大学
58,华中师范大学
59,北京化工大学
60,南京医科大学
61,深圳大学
62,华中农业大学
63,扬州大学
64,南京工业大学
65,北京交通大学
66,浙江工业大学
67,首都医科大学
68,福州大学
69,陕西师范大学
70,合肥工业大学
71,河南大学
72,青岛大学
73,北京工业大学
74,西北大学
75,南京林业大学
76,南京信息工程大学
77,中国海洋大学
78,中国石油大学（华东）
79,上海理工大学
80,华南师范大学
81,华南农业大学
82,南方医科大学
83,中国地质大学（武汉）
84,东北师范大学
85,北京邮电大学
86,宁波大学
87,南京邮电大学
88,燕山大学
89,中南财经政法大学
90,山东师范大学
91,温州医科大学
92,北京林业大学
93,湖南师范大学
94,重庆医科大学
95,安徽大学
96,昆明理工大学
97,东华大学
98,中国医科大学
99,浙江师范大学
100,广东工业大学
101,山东科技大学
102,太原理工大学
103,中国药科大学
104,济南大学
105,上海财经大学
106,南通大学
107,中国政法大学
108,西南财经大学
109,贵州大学
110,四川农业大学
112,山西大学
113,湘潭大学
114,中央财经大学
115,长安大学
116,广西大学
117,江苏师范大学
118,中国石油大学（北京）
119,中国地质大学（北京）
120,对外经济贸易大学
121,云南大学
122,河南师范大学
123,首都师范大学
124,天津医科大学
125,南京中医药大学
126,浙江理工大学
127,福建农林大学
128,福建师范大学
129,杭州电子科技大学
130,河南科技大学
131,曲阜师范大学
132,山东农业大学
134,广州大学
135,武汉科技大学
136,上海师范大学
137,北京中医药大学
138,河北工业大学
139,西北师范大学
140,安徽医科大学
142,华东政法大学
143,广州医科大学
144,河北大学
145,江西师范大学
146,西安理工大学
148,西南石油大学
149,西安建筑科技大学
150,西南政法大学
151,河南理工大学
152,广州中医药大学
153,青岛科技大学
154,华侨大学
155,江西财经大学
156,安徽师范大学
157,南方科技大学
158,四川师范大学
159,中国矿业大学（北京）
160,中北大学
161,湖北大学
162,石河子大学
163,常州大学
164,广东外语外贸大学
165,海南大学
166,杭州师范大学
167,大连海事大学
168,西南科技大学
169,辽宁大学
170,中国传媒大学
171,陕西科技大学
172,三峡大学
173,山东理工大学
174,山东财经大学
175,上海中医药大学
176,福建医科大学
177,江苏科技大学
178,重庆邮电大学
179,东北财经大学
180,长沙理工大学
181,浙江工商大学
182,大连医科大学
183,北京外国语大学
184,成都理工大学
185,新疆大学
186,天津工业大学
187,湖南农业大学
188,河北医科大学
189,兰州理工大学
190,中央民族大学
191,河南农业大学
193,湖南科技大学
194,首都经济贸易大学
195,温州大学
196,长江大学
197,中南民族大学
198,河北农业大学
199,青岛农业大学
200,广西师范大学
201,安徽农业大学
202,南京财经大学
203,山西医科大学
204,中国计量大学
205,沈阳农业大学
206,辽宁师范大学
207,华北理工大学
