排名,排名1,学校,总分,星级,办学层次
1,1,北京大学,100,8★,世界一流大学
2,2,清华大学,99.67,8★,世界一流大学
3,3,浙江大学,80.59,8★,世界一流大学
4,4,上海交通大学,80.36,8★,世界一流大学
5,5,华中科技大学,77.19,8★,世界一流大学
6,6,南京大学,77.13,8★,世界一流大学
7,7,复旦大学,77.05,8★,世界一流大学
8,8,武汉大学,76.98,8★,世界一流大学
9,9,中国科学技术大学,72.45,8★,世界一流大学
10,10,哈尔滨工业大学,72.32,7★,世界知名高水平大学
11,11,中国人民大学,72.16,8★,世界一流大学
12,12,南开大学,72.14,7★,世界知名高水平大学
13,13,北京师范大学,72.14,7★,世界知名高水平大学
14,14,天津大学,72.09,7★,世界知名高水平大学
15,15,西安交通大学,72.08,7★,世界知名高水平大学
16,16,山东大学,71.73,7★,世界知名高水平大学
17,17,中山大学,71.73,7★,世界知名高水平大学
18,18,北京航空航天大学,71.03,7★,世界知名高水平大学
19,19,四川大学,70.71,7★,世界知名高水平大学
20,20,同济大学,70.12,7★,世界知名高水平大学
21,21,厦门大学,70.1,7★,世界知名高水平大学
22,22,东南大学,69.82,7★,世界知名高水平大学
23,23,吉林大学,69.8,7★,世界知名高水平大学
24,24,西北工业大学,69.79,7★,世界知名高水平大学
25,25,华南理工大学,68.67,6★,世界高水平大学
26,26,北京理工大学,67.85,7★,世界知名高水平大学
27,27,华东师范大学,67.85,6★,世界高水平大学
28,28,中南大学,67.84,7★,世界知名高水平大学
29,29,中国农业大学,67.12,7★,世界知名高水平大学
30,30,大连理工大学,66.21,6★,世界高水平大学
31,31,兰州大学,66.19,6★,世界高水平大学
32,32,电子科技大学,65.98,6★,世界高水平大学
33,33,湖南大学,65.79,6★,世界高水平大学
34,34,北京科技大学,64.97,6★,世界高水平大学
35,35,北京协和医学院,64.97,7★,世界知名高水平大学
36,36,重庆大学,64.93,6★,世界高水平大学
37,37,武汉理工大学,64.61,6★,世界高水平大学
38,38,北京交通大学,64.54,5★,中国一流大学
39,39,华东理工大学,64.38,5★,中国一流大学
40,40,华中农业大学,64.37,5★,中国一流大学
41,41,中国海洋大学,64.36,6★,世界高水平大学
42,42,河海大学,64.35,6★,世界高水平大学
43,43,南京理工大学,64.34,6★,世界高水平大学
44,44,西南大学,64.32,6★,世界高水平大学
45,45,苏州大学,64.31,5★,中国一流大学
46,46,华中师范大学,64.31,5★,中国一流大学
47,47,东北大学,64.3,6★,世界高水平大学
48,48,南京师范大学,64.3,5★,中国一流大学
49,49,南京农业大学,64.18,5★,中国一流大学
50,50,西安电子科技大学,64.15,5★,中国一流大学
51,51,南京航空航天大学,64.14,5★,中国一流大学
52,52,合肥工业大学,63.81,5★,中国一流大学
53,53,北京邮电大学,63.79,6★,世界高水平大学
54,54,哈尔滨工程大学,63.5,5★,中国一流大学
55,55,暨南大学,63.48,5★,中国一流大学
56,56,中南财经政法大学,63.47,6★,世界高水平大学
57,57,西南交通大学,63.44,5★,中国一流大学
58,58,华南农业大学,63.29,5★,中国一流大学
59,59,西北农林科技大学,63.25,5★,中国一流大学
60,60,江南大学,63.06,5★,中国一流大学
61,61,云南大学,63.04,5★,中国一流大学
62,62,东北师范大学,63.04,5★,中国一流大学
63,63,郑州大学,63.01,5★,中国一流大学
64,64,湖南师范大学,63.01,5★,中国一流大学
65,65,西北大学,63,5★,中国一流大学
66,66,上海财经大学,62.99,6★,世界高水平大学
67,67,昆明理工大学,62.98,5★,中国一流大学
68,68,深圳大学,62.98,5★,中国一流大学
69,69,东华大学,62.96,5★,中国一流大学
70,70,华南师范大学,62.96,5★,中国一流大学
71,71,燕山大学,62.94,5★,中国一流大学
72,72,北京化工大学,62.93,5★,中国一流大学
73,73,上海大学,62.93,5★,中国一流大学
74,74,宁波大学,62.92,5★,中国一流大学
75,75,南昌大学,62.9,5★,中国一流大学
76,76,扬州大学,62.89,5★,中国一流大学
77,77,北京工业大学,62.88,4★,中国高水平大学
78,78,中国地质大学（武汉）,62.88,6★,世界高水平大学
79,79,中国石油大学（北京）,62.88,6★,世界高水平大学
80,80,首都医科大学,62.88,5★,中国一流大学
81,81,对外经济贸易大学,62.86,5★,中国一流大学
82,82,中国政法大学,62.86,6★,世界高水平大学
83,83,中国矿业大学,62.83,6★,世界高水平大学
84,84,陕西师范大学,62.83,4★,中国高水平大学
85,85,上海理工大学,62.72,4★,中国高水平大学
86,86,首都师范大学,62.72,4★,中国高水平大学
87,87,福州大学,62.71,4★,中国高水平大学
88,88,西南财经大学,62.71,5★,中国一流大学
89,89,江苏大学,62.69,4★,中国高水平大学
90,90,北京林业大学,62.68,6★,世界高水平大学
91,91,福建师范大学,62.68,4★,中国高水平大学
92,92,南京林业大学,62.67,5★,中国一流大学
93,93,北京外国语大学,62.67,6★,世界高水平大学
94,94,浙江工业大学,62.63,4★,中国高水平大学
95,95,中国石油大学（华东）,62.53,5★,中国一流大学
96,96,浙江师范大学,62.53,4★,中国高水平大学
97,97,南京工业大学,62.5,4★,中国高水平大学
98,98,河南大学,62.34,4★,中国高水平大学
99,99,武汉科技大学,62.33,4★,中国高水平大学
100,100,中国传媒大学,62.33,6★,世界高水平大学
101,101,中央民族大学,62.26,6★,世界高水平大学
102,102,南方科技大学,62.25,5★,中国一流大学
103,103,安徽大学,62.24,4★,中国高水平大学
104,104,贵州大学,62.24,4★,中国高水平大学
105,105,山西大学,62.23,4★,中国高水平大学
106,106,河北大学,62.22,4★,中国高水平大学
107,107,齐鲁工业大学,62.1,4★,中国高水平大学
108,108,河南科技大学,62.09,4★,中国高水平大学
109,109,辽宁大学,62.08,4★,中国高水平大学
110,110,长安大学,62.08,4★,中国高水平大学
111,111,中央财经大学,62.07,5★,中国一流大学
112,112,河南师范大学,62.07,4★,中国高水平大学
113,113,东北财经大学,62.06,5★,中国一流大学
114,114,太原理工大学,62.04,5★,中国一流大学
115,115,江西财经大学,62.03,5★,中国一流大学
116,116,天津工业大学,62.03,4★,中国高水平大学
117,117,福建农林大学,62.01,4★,中国高水平大学
118,118,中国药科大学,62.01,5★,中国一流大学
119,119,西安建筑科技大学,62,4★,中国高水平大学
120,120,湘潭大学,62,4★,中国高水平大学
121,121,北京中医药大学,62,6★,世界高水平大学
122,122,江西师范大学,62,4★,中国高水平大学
123,123,山东师范大学,62,4★,中国高水平大学
124,124,山东农业大学,61.89,4★,中国高水平大学
125,125,哈尔滨医科大学,61.89,5★,中国一流大学
126,126,天津医科大学,61.89,4★,中国高水平大学
127,127,东北农业大学,61.81,4★,中国高水平大学
128,128,中国地质大学（北京）,61.81,4★,中国高水平大学
129,129,黑龙江大学,61.79,4★,中国高水平大学
130,130,东北林业大学,61.78,4★,中国高水平大学
131,131,南方医科大学,61.78,4★,中国高水平大学
132,132,中国矿业大学（北京）,61.72,4★,中国高水平大学
133,133,南京医科大学,61.72,4★,中国高水平大学
134,134,中国医科大学,61.72,4★,中国高水平大学
135,135,四川农业大学,61.64,4★,中国高水平大学
136,136,湖南农业大学,61.61,4★,中国高水平大学
137,137,河北师范大学,61.61,4★,中国高水平大学
138,138,河北工业大学,61.58,4★,中国高水平大学
139,139,北京语言大学,61.58,5★,中国一流大学
140,140,天津师范大学,61.58,4★,中国高水平大学
141,141,西南石油大学,61.55,4★,中国高水平大学
142,142,上海外国语大学,61.55,5★,中国一流大学
143,143,上海中医药大学,61.55,6★,世界高水平大学
144,144,西北师范大学,61.55,4★,中国高水平大学
145,145,华北电力大学,61.51,4★,中国高水平大学
146,146,重庆医科大学,61.51,4★,中国高水平大学
147,147,西安理工大学,61.48,4★,中国高水平大学
148,148,天津中医药大学,61.48,5★,中国一流大学
149,149,浙江理工大学,61.42,4★,中国高水平大学
150,150,南京信息工程大学,61.41,4★,中国高水平大学
151,151,山东科技大学,61.41,4★,中国高水平大学
152,152,安徽师范大学,61.41,4★,中国高水平大学
153,153,北京体育大学,61.41,6★,世界高水平大学
154,154,河北医科大学,61.41,4★,中国高水平大学
155,155,南京中医药大学,61.41,5★,中国一流大学
156,156,浙江工商大学,61.28,4★,中国高水平大学
157,157,河北农业大学,61.27,4★,中国高水平大学
158,158,华侨大学,61.26,4★,中国高水平大学
159,159,华东政法大学,61.26,4★,中国高水平大学
160,160,外交学院,61.26,6★,世界高水平大学
161,161,广西大学,61.25,4★,中国高水平大学
162,162,南京邮电大学,61.24,4★,中国高水平大学
163,163,山东财经大学,61.24,4★,中国高水平大学
164,164,安徽农业大学,61.23,4★,中国高水平大学
165,165,大连海事大学,61.23,4★,中国高水平大学
166,166,广东工业大学,61.23,4★,中国高水平大学
167,167,沈阳农业大学,61.23,3★,区域一流大学
168,168,首都经济贸易大学,61.23,4★,中国高水平大学
169,169,长江大学,61.22,3★,区域一流大学
170,170,广州医科大学,61.22,4★,中国高水平大学
171,171,西南政法大学,61.22,5★,中国一流大学
172,172,湖北工业大学,61.21,3★,区域一流大学
173,173,三峡大学,61.21,3★,区域一流大学
174,174,云南民族大学,61.21,5★,中国一流大学
175,175,北京电影学院,61.21,6★,世界高水平大学
176,176,广州中医药大学,61.21,5★,中国一流大学
177,177,山西医科大学,61.21,4★,中国高水平大学
178,178,温州医科大学,61.21,4★,中国高水平大学
179,179,长沙理工大学,61.2,4★,中国高水平大学
180,180,上海师范大学,61.2,4★,中国高水平大学
181,181,广州大学,61.19,3★,区域一流大学
182,182,湖北大学,61.19,3★,区域一流大学
183,183,中南民族大学,61.19,5★,中国一流大学
184,184,中央戏剧学院,61.19,6★,世界高水平大学
185,185,内蒙古大学,61.18,4★,中国高水平大学
186,186,哈尔滨师范大学,61.18,4★,中国高水平大学
187,187,新疆大学,61.15,4★,中国高水平大学
188,188,广东外语外贸大学,61.15,4★,中国高水平大学
189,189,青岛大学,61.13,4★,中国高水平大学
190,190,杭州电子科技大学,61.11,4★,中国高水平大学
191,191,江苏师范大学,61.11,3★,区域一流大学
192,192,东北电力大学,61.1,4★,中国高水平大学
193,193,东莞理工学院,61.1,3★,区域一流大学
194,194,海南大学,61.1,3★,区域一流大学
195,195,河南理工大学,61.1,3★,区域一流大学
196,196,江西理工大学,61.1,4★,中国高水平大学
197,197,陕西科技大学,61.1,4★,中国高水平大学
198,198,四川师范大学,61.1,4★,中国高水平大学
199,199,云南师范大学,61.1,3★,区域一流大学
200,200,汕头大学,61.08,3★,区域一流大学
