排名,学校,综合得分,类型
1,"清华大学(分数线,专业设置)",169.08,理工
2,"北京大学(分数线,专业设置)",168.98,综合
3,浙江大学,168.47,综合
4,上海交通大学,130.99,综合
5,复旦大学,114.47,综合
6,南京大学,106.16,综合
7,武汉大学,103.68,综合
8,四川大学,99.28,综合
9,华中科技大学,96.94,理工
10,吉林大学,94.94,综合
11,中山大学,91.81,综合
12,山东大学,91.25,综合
13,哈尔滨工业大学,83.00,理工
14,东南大学,77.81,综合
15,中国科学技术大学,71.37,理工
16,西安交通大学,70.34,综合
17,中南大学,69.99,综合
18,南开大学,69.95,综合
19,同济大学,69.45,理工
20,天津大学,63.50,理工
21,"中国人民大学(分数线,专业设置)",63.06,综合
22,北京师范大学,63.03,师范
23,华南理工大学,62.37,理工
24,北京航空航天大学,59.67,理工
25,厦门大学,58.84,综合
26,苏州大学,58.64,综合
27,大连理工大学,58.51,理工
28,重庆大学,55.07,综合
29,湖南大学,52.97,综合
30,兰州大学,46.89,综合
31,华东师范大学,45.73,师范
32,北京理工大学,45.68,理工
33,西北工业大学,45.08,理工
34,华东理工大学,41.92,理工
35,中国农业大学,41.15,农业
36,郑州大学,38.97,综合
37,电子科技大学,38.82,理工
38,南京航空航天大学,38.81,理工
39,西南大学,38.59,综合
40,武汉理工大学,37.31,理工
41,江苏大学,37.12,综合
42,上海大学,36.58,综合
43,南京农业大学,35.37,农业
44,华中师范大学,33.61,师范
45,南京理工大学,32.92,理工
46,西北农林科技大学,32.60,农业
47,东北大学,32.25,理工
48,北京化工大学,31.80,理工
49,西安电子科技大学,31.52,理工
50,江南大学,31.19,综合
51,西南交通大学,31.17,理工
52,华中农业大学,30.62,农业
53,南京师范大学,30.03,师范
54,哈尔滨工程大学,29.91,理工
55,"北京交通大学(分数线,专业设置)",29.86,理工
56,东北师范大学,28.87,师范
57,北京科技大学,28.08,理工
58,暨南大学,27.53,综合
59,华南师范大学,25.79,师范
60,华北电力大学,25.12,理工
61,河海大学,24.80,理工
62,中国海洋大学,23.98,综合
63,福州大学,23.57,理工
64,扬州大学,23.56,综合
65,浙江工业大学,23.40,理工
66,西北大学,23.39,综合
67,中国矿业大学,23.03,理工
68,陕西师范大学,22.83,师范
69,南京医科大学,22.68,医药
70,首都医科大学,22.63,医药
71,河南大学,22.44,综合
72,东华大学,22.33,理工
73,合肥工业大学,22.32,理工
74,南昌大学,22.28,综合
75,"北京工业大学(分数线,专业设置)",21.77,理工
76,南京工业大学,21.39,理工
77,浙江师范大学,20.62,师范
78,华南农业大学,20.19,农林
79,北京邮电大学,19.33,理工
80,湖南师范大学,19.06,综合
81,湘潭大学,18.75,综合
82,中南财经政法大学,18.38,财经
83,首都师范大学,17.88,师范
84,燕山大学,17.76,理工
85,中国地质大学（武汉）,17.75,理工
86,福建师范大学,17.54,师范
87,宁波大学,17.21,综合
88,昆明理工大学,16.85,理工
89,中国石油大学（华东）,16.80,理工
90,青岛大学,16.77,综合
91,上海理工大学,16.48,理工
92,上海财经大学,16.42,财经
93,南京信息工程大学,16.39,理工
94,北京林业大学,16.37,林业
95,云南大学,16.29,综合
96,广西大学,16.26,综合
97,山西大学,16.18,综合
98,上海师范大学,16.10,师范
99,黑龙江大学,16.09,综合
100,中国医科大学,16.02,医药
101,南方医科大学,16.00,医药
102,西南财经大学,15.75,财经
103,哈尔滨医科大学,15.65,医药
104,安徽大学,15.60,综合
105,长安大学,15.50,理工
106,南京邮电大学,15.42,理工
107,重庆医科大学,15.39,医药
108,四川农业大学,15.38,农林
109,东北林业大学,15.27,林业
110,中国传媒大学,15.20,语文
111,济南大学,14.92,综合
112,中国药科大学,14.83,医药
113,山东农业大学,14.77,农业
114,广东工业大学,14.30,理工
115,深圳大学,14.27,综合
116,浙江理工大学,13.99,理工
117,对外经济贸易大学,13.92,财经
118,太原理工大学,13.79,理工
119,中国石油大学（北京）,13.66,理工
120,中国地质大学（北京）,13.32,理工
121,贵州大学,13.15,综合
122,安徽师范大学,13.14,师范
123,河南师范大学,13.06,师范
124,西北师范大学,13.03,师范
125,中央财经大学,12.94,财经
126,河北大学,12.88,综合
127,天津医科大学,12.69,医药
128,温州医科大学,12.62,医药
129,杭州师范大学,12.42,师范
130,东北财经大学,12.07,财经
131,华侨大学,12.04,综合
132,新疆大学,11.99,综合
133,中国政法大学,11.93,政法
134,南通大学,11.84,综合
135,浙江工商大学,11.78,财经
136,江苏师范大学,11.66,师范
137,山东师范大学,11.62,师范
138,哈尔滨师范大学,11.60,师范
139,天津师范大学,11.43,师范
140,南京中医药大学,11.19,医药
141,西安理工大学,11.12,理工
142,东北农业大学,11.09,农业
143,山东科技大学,10.99,理工
144,青岛科技大学,10.96,理工
145,杭州电子科技大学,10.92,理工
146,江西师范大学,10.87,师范
147,河南科技大学,10.87,理工
148,江西财经大学,10.83,财经
149,广东外语外贸大学,10.78,语文
150,南京林业大学,10.77,林业
151,河南理工大学,10.50,理工
152,四川师范大学,10.49,师范
153,西南政法大学,10.43,政法
154,天津工业大学,10.42,理工
155,大连海事大学,10.41,理工
156,温州大学,10.29,综合
157,福建农林大学,10.23,农业
158,安徽医科大学,10.17,医药
159,长沙理工大学,10.15,理工
160,武汉科技大学,10.11,理工
161,中北大学,10.01,理工
162,石河子大学,9.99,综合
163,广州大学,9.91,综合
164,西安建筑科技大学,9.90,理工
165,中央民族大学,9.74,民族
166,湖南科技大学,9.73,综合
167,三峡大学,9.70,综合
168,北京中医药大学,9.62,医药
169,辽宁大学,9.57,综合
170,河北工业大学,9.52,理工
171,山东理工大学,9.51,理工
172,上海中医药大学,9.47,医药
173,内蒙古大学,9.47,综合
174,河北师范大学,9.42,师范
175,河南农业大学,9.42,农业
176,华东政法大学,9.35,政法
177,湖南农业大学,9.19,农业
178,河北医科大学,9.11,医药
179,兰州理工大学,9.10,理工
180,上海外国语大学,9.10,语文
181,西南科技大学,9.09,理工
182,湖北大学,9.07,综合
183,辽宁工程技术大学,9.07,理工
184,成都理工大学,9.03,理工
185,南华大学,9.00,综合
186,哈尔滨理工大学,8.89,理工
187,北京外国语大学,8.86,语文
188,天津理工大学,8.86,理工
189,汕头大学,8.79,综合
190,海南大学,8.78,综合
191,中南民族大学,8.76,民族
192,陕西科技大学,8.76,理工
193,广西师范大学,8.75,师范
194,重庆邮电大学,8.70,理工
195,中国矿业大学（北京）,8.67,理工
196,河北农业大学,8.55,农业
197,长春理工大学,8.54,理工
198,中国计量大学,8.54,理工
199,天津科技大学,8.52,理工
200,广州中医药大学,8.45,医药
