排名,学校,地区
1,清华大学,北京
2,北京大学,北京
3,浙江大学,浙江
4,上海交通大学,上海
5,武汉大学,湖北
6,南京大学,江苏
7,华中科技大学,湖北
8,复旦大学,上海
9,四川大学,四川
10,吉林大学,吉林
11,中山大学,广东
12,山东大学,山东
13,哈尔滨工业大学,黑龙江
14,西安交通大学,陕西
15,中南大学,湖南
16,中国科学技术大学,安徽
17,东南大学,江苏
18,中国人民大学,北京
19,天津大学,天津
20,华南理工大学,广东
21,同济大学,上海
22,苏州大学,江苏
23,北京师范大学,北京
24,北京航空航天大学,北京
25,湖南大学,湖南
26,南开大学,天津
27,重庆大学,重庆
28,厦门大学,福建
29,西北工业大学,陕西
30,大连理工大学,辽宁
31,华东师范大学,上海
32,北京理工大学,北京
33,郑州大学,河南
34,电子科技大学,四川
35,兰州大学,甘肃
36,中国农业大学,北京
37,西南大学,重庆
38,江苏大学,江苏
39,武汉理工大学,湖北
40,西北农林科技大学,陕西
41,上海大学,上海
42,南京航空航天大学,江苏
43,南京理工大学,江苏
44,东北大学,辽宁
45,江南大学,江苏
46,华东理工大学,上海
47,南京农业大学,江苏
48,北京科技大学,北京
49,华中师范大学,湖北
50,西南交通大学,四川
51,哈尔滨工程大学,黑龙江
52,西安电子科技大学,陕西
53,河海大学,江苏
54,华北电力大学,北京
55,南京师范大学,江苏
56,暨南大学,广东
57,北京化工大学,北京
58,南昌大学,江西
59,华中农业大学,湖北
60,北京交通大学,北京
61,南京医科大学,江苏
62,福州大学,福建
63,陕西师范大学,陕西
64,中国矿业大学,江苏
65,扬州大学,江苏
66,合肥工业大学,安徽
67,南京工业大学,江苏
68,浙江工业大学,浙江
69,首都医科大学,北京
70,北京工业大学,北京
71,河南大学,河南
72,华南师范大学,广东
73,深圳大学,广东
74,西北大学,陕西
75,东北师范大学,吉林
76,中国海洋大学,山东
77,南京信息工程大学,江苏
78,青岛大学,山东
79,中国地质大学(武汉),湖北
80,华南农业大学,广东
81,中国石油大学(华东),山东
82,上海理工大学,上海
83,南方医科大学,广东
84,宁波大学,浙江
85,北京邮电大学,北京
86,燕山大学,河北
87,中国医科大学,辽宁
88,北京林业大学,北京
89,南京邮电大学,江苏
90,中南财经政法大学,湖北
91,昆明理工大学,云南
92,浙江师范大学,浙江
93,南京林业大学,江苏
94,东华大学,上海
95,温州医科大学,浙江
96,湖南师范大学,湖南
97,四川农业大学,四川
98,太原理工大学,山西
99,中国石油大学(北京),北京
100,上海财经大学,上海
101,重庆医科大学,重庆
102,西南财经大学,四川
103,安徽大学,安徽
104,湘潭大学,湖南
105,山西大学,山西
106,山东师范大学,山东
107,济南大学,山东
108,南通大学,江苏
109,哈尔滨医科大学,黑龙江
110,中国药科大学,江苏
111,广东工业大学,广东
112,中国地质大学(北京),北京
113,对外经济贸易大学,北京
114,长安大学,陕西
115,首都师范大学,北京
116,中央财经大学,北京
117,福建师范大学,福建
118,广西大学,广西
119,江苏师范大学,江苏
120,山东科技大学,山东
121,贵州大学,贵州
122,中国政法大学,北京
123,天津医科大学,天津
124,东北林业大学,黑龙江
125,河南师范大学,河南
126,浙江理工大学,浙江
127,云南大学,云南
128,上海师范大学,上海
129,南京中医药大学,江苏
130,江西师范大学,江西
131,黑龙江大学,黑龙江
132,福建农林大学,福建
133,山东农业大学,山东
134,河南科技大学,河南
135,西北师范大学,甘肃
136,东北农业大学,黑龙江
137,广州大学,广东
138,安徽医科大学,安徽
139,武汉科技大学,湖北
140,西南石油大学,四川
141,河南理工大学,河南
142,杭州电子科技大学,浙江
143,曲阜师范大学,山东
144,河北大学,河北
145,江西财经大学,江西
146,河北工业大学,河北
147,四川师范大学,四川
148,华侨大学,福建
149,安徽师范大学,安徽
150,西安理工大学,陕西
151,西南政法大学,重庆
152,西安建筑科技大学,陕西
153,华东政法大学,上海
154,东北财经大学,辽宁
155,石河子大学,新疆
156,中北大学,山西
157,北京中医药大学,北京
158,青岛科技大学,山东
159,新疆大学,新疆
160,辽宁大学,辽宁
161,大连海事大学,辽宁
162,广州中医药大学,广东
163,湖北大学,湖北
164,中国矿业大学(北京),北京
165,杭州师范大学,浙江
166,广州医科大学,广东
167,西南科技大学,四川
168,常州大学,江苏
169,中国传媒大学,北京
170,哈尔滨理工大学,黑龙江
171,福建医科大学,福建
172,广东外语外贸大学,广东
173,三峡大学,湖北
174,海南大学,海南
175,上海中医药大学,上海
176,山东理工大学,山东
177,大连医科大学,辽宁
178,湖南农业大学,湖南
179,兰州理工大学,甘肃
180,天津工业大学,天津
181,长沙理工大学,湖南
182,天津师范大学,天津
183,浙江工商大学,浙江
184,成都理工大学,四川
185,陕西科技大学,陕西
186,山东财经大学,山东
187,重庆邮电大学,重庆
188,湖南科技大学,湖南
189,中央民族大学,北京
190,河南农业大学,河南
191,广西师范大学,广西
192,河北医科大学,河北
193,中南民族大学,湖北
194,辽宁师范大学,辽宁
195,哈尔滨师范大学,黑龙江
196,青岛农业大学,山东
197,长江大学,湖北
198,江苏科技大学,江苏
199,温州大学,浙江
200,北京外国语大学,北京
