学校,省份,类别,排名,总分
清华大学,北京,理工,1,94.6
北京大学,北京,综合,2,76.5
浙江大学,浙江,综合,3,72.9
上海交通大学,上海,综合,4,72.1
复旦大学,上海,综合,5,65.6
中国科学技术大学,安徽,理工,6,60.9
华中科技大学,湖北,理工,7,58.9
南京大学,江苏,综合,7,58.9
中山大学,广东,综合,9,58.2
哈尔滨工业大学,黑龙江,理工,10,56.7
北京航空航天大学,北京,理工,11,56.3
武汉大学,湖北,综合,12,56.2
同济大学,上海,理工,13,55.7
西安交通大学,陕西,综合,14,55.0
四川大学,四川,综合,15,54.4
北京理工大学,北京,理工,16,54.0
东南大学,江苏,综合,17,53.6
南开大学,天津,综合,18,52.8
天津大学,天津,理工,19,52.3
华南理工大学,广东,理工,20,52.0
中南大学,湖南,综合,21,50.3
北京师范大学,北京,师范,22,49.7
山东大学,山东,综合,23,49.1
厦门大学,福建,综合,23,49.1
吉林大学,吉林,综合,25,48.9
大连理工大学,辽宁,理工,26,48.6
电子科技大学,四川,理工,27,48.4
湖南大学,湖南,综合,28,48.1
苏州大学,江苏,综合,29,47.3
西北工业大学,陕西,理工,30,46.7
中国人民大学,北京,综合,31,46.1
华东师范大学,上海,师范,32,46.0
南京航空航天大学,江苏,理工,33,44.8
对外经济贸易大学,北京,财经,34,44.7
南方科技大学,广东,综合,35,44.6
华东理工大学,上海,理工,36,44.5
重庆大学,重庆,综合,37,44.4
南京理工大学,江苏,理工,38,44.3
北京科技大学,北京,理工,39,43.9
东北大学,辽宁,理工,40,43.7
上海大学,上海,综合,41,43.4
北京邮电大学,北京,理工,42,42.9
上海财经大学,上海,财经,42,42.9
中国农业大学,北京,农业,42,42.9
武汉理工大学,湖北,理工,45,42.8
北京交通大学,北京,理工,46,42.6
华中师范大学,湖北,师范,46,42.6
西安电子科技大学,陕西,理工,48,42.1
中央财经大学,北京,财经,49,41.8
北京化工大学,北京,理工,50,41.7
暨南大学,广东,综合,51,41.5
东华大学,上海,理工,52,41.4
兰州大学,甘肃,综合,52,41.4
中南财经政法大学,湖北,财经,52,41.4
宁波诺丁汉大学,浙江,综合,55,40.3
哈尔滨工程大学,黑龙江,理工,56,40.1
华北电力大学,北京,理工,56,40.1
深圳大学,广东,综合,58,40.0
江南大学,江苏,综合,59,39.6
南京师范大学,江苏,师范,59,39.6
北京工业大学,北京,理工,61,39.5
福州大学,福建,理工,62,39.4
北京外国语大学,北京,语言,63,39.3
北京语言大学,北京,语言,63,39.3
中国地质大学（武汉）,湖北,理工,63,39.3
西南交通大学,四川,理工,66,39.2
华中农业大学,湖北,农业,67,39.1
中国海洋大学,山东,综合,67,39.1
南京农业大学,江苏,农业,69,39.0
上海外国语大学,上海,语言,70,38.8
中国矿业大学,江苏,理工,71,38.6
中国地质大学（北京）,北京,理工,72,38.5
东北财经大学,辽宁,财经,73,38.2
西南财经大学,四川,财经,73,38.2
西南大学,重庆,综合,73,38.2
东北师范大学,吉林,师范,76,38.1
南京邮电大学,江苏,理工,76,38.1
中国政法大学,北京,政法,76,38.1
河海大学,江苏,理工,79,38.0
南京信息工程大学,江苏,理工,80,37.9
西北农林科技大学,陕西,农业,81,37.8
中国石油大学（华东）,山东,理工,82,37.4
合肥工业大学,安徽,理工,83,37.3
陕西师范大学,陕西,师范,84,37.2
华南师范大学,广东,师范,85,37.1
江苏大学,江苏,综合,85,37.1
南京工业大学,江苏,理工,87,37.0
中国石油大学（北京）,北京,理工,87,37.0
西北大学,陕西,综合,89,36.9
浙江工业大学,浙江,理工,89,36.9
北京林业大学,北京,林业,91,36.8
湖南师范大学,湖南,师范,91,36.8
浙江师范大学,浙江,师范,91,36.8
首都师范大学,北京,师范,94,36.4
汕头大学,广东,综合,95,36.3
中国传媒大学,北京,语言,96,36.2
杭州电子科技大学,浙江,理工,97,36.1
扬州大学,江苏,综合,98,36.0
安徽大学,安徽,综合,99,35.9
华侨大学,福建,综合,100,35.7
宁波大学,浙江,综合,101,35.4
首都经济贸易大学,北京,财经,101,35.4
西交利物浦大学,江苏,综合,101,35.4
燕山大学,河北,理工,104,35.3
湖北大学,湖北,综合,105,35.2
长安大学,陕西,理工,106,35.1
上海理工大学,上海,理工,106,35.1
大连海事大学,辽宁,理工,108,35.0
广东外语外贸大学,广东,语言,108,35.0
太原理工大学,山西,理工,108,35.0
广东工业大学,广东,理工,111,34.8
南京财经大学,江苏,财经,111,34.8
浙江理工大学,浙江,理工,111,34.8
河北工业大学,天津,理工,114,34.7
华东政法大学,上海,政法,115,34.6
湘潭大学,湖南,综合,115,34.6
浙江财经大学,浙江,财经,115,34.6
中国矿业大学（北京）,北京,理工,115,34.6
青岛大学,山东,综合,119,34.5
上海师范大学,上海,师范,120,34.2
南京审计大学,江苏,财经,121,34.1
华南农业大学,广东,农业,122,34.0
江西财经大学,江西,财经,123,33.9
辽宁大学,辽宁,综合,123,33.9
中央民族大学,北京,民族,123,33.9
武汉工程大学,湖北,理工,126,33.8
郑州大学,河南,综合,126,33.8
杭州师范大学,浙江,师范,128,33.6
上海对外经贸大学,上海,财经,128,33.6
上海海事大学,上海,理工,130,33.4
山东师范大学,山东,师范,131,33.3
武汉科技大学,湖北,理工,131,33.3
北京第二外国语学院,北京,语言,133,33.2
广西大学,广西,综合,133,33.2
云南大学,云南,综合,133,33.2
浙江工商大学,浙江,财经,133,33.2
山西大学,山西,综合,137,33.1
