排名,排名1,学校,类型,地区,总分
1,1,北京大学,综合,北京,100.00
2,2,清华大学,理工,北京,98.23
3,3,复旦大学,综合,上海,82.22
4,4,武汉大学,综合,湖北,81.88
5,5,中国人民大学,综合,北京,81.67
6,6,浙江大学,综合,浙江,81.66
7,7,上海交通大学,综合,上海,81.44
8,8,南京大学,综合,江苏,80.87
9,9,中国科学技术大学,理工,安徽,75.88
10,10,国防科学技术大学,理工,湖南,75.75
11,11,吉林大学,综合,吉林,75.68
12,12,北京师范大学,师范,北京,75.31
13,13,南开大学,综合,天津,75.08
14,14,中山大学,综合,广东,75.07
15,15,四川大学,综合,四川,75.04
16,16,华中科技大学,理工,湖北,74.98
17,17,西安交通大学,综合,陕西,74.31
18,18,同济大学,理工,上海,73.07
19,19,中南大学,综合,湖南,73.02
20,20,哈尔滨工业大学,理工,黑龙江,72.74
21,21,山东大学,综合,山东,72.45
22,22,厦门大学,综合,福建,72.32
23,23,东南大学,综合,江苏,71.54
24,24,天津大学,理工,天津,71.53
25,25,重庆大学,综合,重庆,70.92
26,26,北京航空航天大学,理工,北京,70.88
27,27,华东师范大学,师范,上海,69.95
28,28,东北大学,理工,辽宁,69.11
29,29,北京理工大学,理工,北京,68.80
30,30,华中师范大学,师范,湖北,68.62
31,31,大连理工大学,理工,辽宁,68.61
32,32,西北工业大学,理工,陕西,68.16
33,33,华南理工大学,理工,广东,68.07
34,34,湖南大学,综合,湖南,67.76
35,35,中国农业大学,农林,北京,67.36
36,36,兰州大学,综合,甘肃,67.20
37,37,电子科技大学,理工,四川,67.12
38,38,北京协和医学院,医药,北京,66.80
39,39,东北师范大学,师范,吉林,66.73
40,40,北京科技大学,理工,北京,66.53
41,41,西北大学,综合,陕西,66.52
42,42,武汉理工大学,理工,湖北,66.34
43,43,长安大学,理工,陕西,66.28
44,44,北京交通大学,理工,北京,66.20
45,45,中国地质大学,理工,湖北,66.19
46,46,中国矿业大学,理工,江苏,66.15
47,47,南京农业大学,农林,江苏,66.00
48,48,南京师范大学,师范,江苏,65.91
49,48,哈尔滨工程大学,理工,黑龙江,65.91
50,50,华中农业大学,农林,湖北,65.84
51,51,华东理工大学,理工,上海,65.74
52,52,中国海洋大学,综合,山东,65.61
53,53,南京理工大学,理工,江苏,65.60
54,54,解放军信息工程大学,理工,河南,65.53
55,55,西南交通大学,理工,四川,65.47
56,56,西南大学,综合,重庆,65.36
57,57,第三军医大学,医药,重庆,65.32
58,58,暨南大学,综合,广东,65.26
59,59,上海财经大学,财经,上海,65.21
60,60,第二军医大学,医药,上海,65.15
61,61,北京邮电大学,理工,北京,65.06
62,62,中国政法大学,政法,北京,65.02
63,63,云南大学,综合,云南,64.98
64,64,第四军医大学,医药,陕西,64.85
65,64,南京航空航天大学,理工,江苏,64.85
66,66,合肥工业大学,理工,安徽,64.83
67,67,中国石油大学,理工,山东,64.73
68,68,湖南师范大学,师范,湖南,64.69
69,68,西北农林科技大学,农林,陕西,64.69
70,70,苏州大学,综合,江苏,64.68
71,71,西安电子科技大学,理工,陕西,64.62
72,72,河海大学,理工,江苏,64.52
73,73,中南财经政法大学,财经,湖北,64.40
74,74,郑州大学,综合,河南,64.29
75,75,华南师范大学,师范,广东,64.26
76,76,西南财经大学,财经,四川,64.25
77,77,南昌大学,综合,江西,64.24
78,78,东华大学,理工,上海,64.20
