排名,学校,综合得分,类型
1,清华大学,222.89,理工
2,浙江大学,221.02,综合
3,北京大学,220.99,综合
4,上海交通大学,168.81,综合
5,复旦大学,152.48,综合
6,南京大学,143.06,综合
7,武汉大学,127.45,综合
8,四川大学,125.07,综合
9,中山大学,118.73,综合
10,华中科技大学,118.24,理工
11,山东大学,115.40,综合
12,吉林大学,110.62,综合
13,哈尔滨工业大学,105.67,理工
14,西安交通大学,90.73,综合
15,中国科学技术大学,90.68,理工
16,南开大学,90.49,综合
17,东南大学,88.71,综合
18,中南大学,87.74,综合
19,同济大学,81.82,理工
20,中国人民大学,80.85,综合
21,华南理工大学,79.88,理工
22,天津大学,78.48,理工
23,厦门大学,77.36,综合
24,北京师范大学,75.59,师范
25,北京航空航天大学,75.15,理工
26,大连理工大学,74.13,理工
27,重庆大学,70.16,综合
28,苏州大学,65.10,综合
29,兰州大学,59.84,综合
30,北京理工大学,57.82,理工
31,西北工业大学,57.51,理工
32,湖南大学,57.37,综合
33,华东师范大学,56.35,师范
34,中国农业大学,54.39,农业
35,华东理工大学,54.39,理工
36,南京航空航天大学,50.38,理工
37,郑州大学,47.73,综合
38,西南大学,45.45,综合
39,电子科技大学,45.30,理工
40,南京农业大学,44.96,农业
41,华中师范大学,42.63,师范
42,武汉理工大学,42.61,理工
43,上海大学,41.87,综合
44,东北大学,40.31,理工
45,南京理工大学,39.82,理工
46,西安电子科技大学,39.62,理工
47,西北农林科技大学,39.16,农业
48,江苏大学,39.08,综合
49,江南大学,38.91,综合
50,哈尔滨工程大学,38.52,理工
51,华中农业大学,38.37,农业
52,北京化工大学,37.63,理工
53,西南交通大学,36.92,理工
54,北京科技大学,36.36,理工
55,东北师范大学,36.29,师范
56,暨南大学,36.26,综合
57,南京师范大学,36.12,师范
58,北京交通大学,34.66,理工
59,河海大学,32.94,理工
60,华南师范大学,32.19,师范
61,华北电力大学,30.53,理工
62,浙江工业大学,29.89,理工
63,陕西师范大学,29.48,师范
64,首都医科大学,29.46,医药
65,东华大学,29.37,理工
66,中国海洋大学,29.16,综合
67,西北大学,28.59,综合
68,河南大学,28.55,综合
69,福州大学,28.35,理工
70,中国矿业大学,28.12,理工
71,南昌大学,28.10,综合
72,北京工业大学,27.65,理工
73,南京工业大学,27.47,理工
74,扬州大学,27.32,综合
75,南京医科大学,26.81,医药
76,合肥工业大学,26.75,理工
77,北京邮电大学,24.33,理工
78,燕山大学,23.67,理工
79,浙江师范大学,23.42,师范
80,华南农业大学,23.40,农林
81,湖南师范大学,23.09,综合
82,中国地质大学（武汉）,22.29,理工
83,中南财经政法大学,22.23,财经
84,首都师范大学,21.71,师范
85,湘潭大学,20.99,综合
86,上海财经大学,20.96,财经
87,中国石油大学（华东）,20.79,理工
88,宁波大学,20.53,综合
89,山西大学,20.44,综合
90,福建师范大学,20.18,师范
91,昆明理工大学,20.16,理工
92,云南大学,19.83,综合
93,黑龙江大学,19.63,综合
94,广西大学,19.50,综合
95,青岛大学,19.36,综合
96,中国医科大学,19.10,医药
97,上海师范大学,19.06,师范
98,西南财经大学,19.01,财经
99,北京林业大学,18.88,林业
100,长安大学,18.86,理工
101,哈尔滨医科大学,18.83,医药
102,山东农业大学,18.77,农业
103,上海理工大学,18.73,理工
104,四川农业大学,18.72,农林
105,南方医科大学,18.71,医药
