排名,学校,地区
1,清华大学,北京
2,浙江大学,浙江
3,北京大学,北京
4,上海交通大学,上海
5,复旦大学,上海
6,南京大学,江苏
7,武汉大学,湖北
8,华中科技大学,湖北
9,四川大学,四川
10,吉林大学,吉林
11,中山大学,广东
12,山东大学,山东
13,哈尔滨工业大学,黑龙江
14,东南大学,江苏
15,西安交通大学,陕西
16,中国科学技术大学,安徽
17,中南大学,湖南
18,同济大学,上海
19,中国人民大学,北京
20,天津大学,天津
21,南开大学,天津
22,华南理工大学,广东
23,北京师范大学,北京
24,苏州大学,江苏
25,北京航空航天大学,北京
26,厦门大学,福建
27,大连理工大学,辽宁
28,湖南大学,湖南
29,重庆大学,重庆
30,北京理工大学,北京
31,兰州大学,甘肃
32,西北工业大学,陕西
33,华东师范大学,上海
34,中国农业大学,北京
35,华东理工大学,上海
36,郑州大学,河南
37,电子科技大学,四川
38,南京航空航天大学,江苏
39,江苏大学,江苏
40,上海大学,上海
41,西南大学,重庆
42,武汉理工大学,湖北
43,南京农业大学,江苏
44,西北农林科技大学,陕西
45,南京理工大学,江苏
46,华中师范大学,湖北
47,江南大学,江苏
48,哈尔滨工程大学,黑龙江
49,北京科技大学,北京
50,东北大学,辽宁
51,北京化工大学,北京
52,西安电子科技大学,陕西
53,西南交通大学,四川
54,南京师范大学,江苏
55,华中农业大学,湖北
56,北京交通大学,北京
57,暨南大学,广东
58,河海大学,江苏
59,东北师范大学,吉林
60,华北电力大学,北京
61,福州大学,福建
62,浙江工业大学,浙江
63,中国矿业大学,江苏
64,中国海洋大学,山东
65,华南师范大学,广东
66,南京医科大学,江苏
67,南昌大学,江西
68,扬州大学,江苏
69,合肥工业大学,安徽
70,陕西师范大学,陕西
71,河南大学,河南
72,首都医科大学,北京
73,北京工业大学,北京
74,东华大学,上海
75,西北大学,陕西
76,南京工业大学,江苏
77,北京邮电大学,北京
78,浙江师范大学,浙江
79,中国石油大学(华东),山东
80,上海理工大学,上海
81,中南财经政法大学,湖北
82,中国地质大学(武汉),湖北
83,首都师范大学,北京
84,燕山大学,河北
85,华南农业大学,广东
86,宁波大学,浙江
87,湖南师范大学,湖南
88,南京信息工程大学,江苏
89,北京林业大学,北京
90,中国医科大学,辽宁
91,上海财经大学,上海
92,湘潭大学,湖南
93,昆明理工大学,云南
94,青岛大学,山东
95,福建师范大学,福建
96,南京邮电大学,江苏
97,南方医科大学,广东
98,安徽大学,安徽
99,西南财经大学,四川
100,山西大学,山西
101,四川农业大学,四川
102,云南大学,云南
103,对外经济贸易大学,北京
104,中国药科大学,江苏
105,中国传媒大学,北京
106,深圳大学,广东
107,广西大学,广西
108,黑龙江大学,黑龙江
109,哈尔滨医科大学,黑龙江
110,太原理工大学,山西
111,上海师范大学,上海
112,中国石油大学(北京),北京
113,浙江理工大学,浙江
114,中央财经大学,北京
115,济南大学,山东
116,重庆医科大学,重庆
117,长安大学,陕西
118,中国地质大学(北京),北京
119,山东农业大学,山东
120,东北林业大学,黑龙江
121,广东工业大学,广东
122,温州医科大学,浙江
123,中国政法大学,北京
124,天津医科大学,天津
125,华侨大学,福建
126,西北师范大学,甘肃
127,安徽师范大学,安徽
128,东北财经大学,辽宁
129,贵州大学,贵州
130,南通大学,江苏
131,山东师范大学,山东
132,江苏师范大学,江苏
133,杭州师范大学,浙江
134,河南师范大学,河南
135,河北大学,河北
136,江西财经大学,江西
137,山东科技大学,山东
138,河南科技大学,河南
139,新疆大学,新疆
140,南京中医药大学,江苏
141,西南政法大学,重庆
142,杭州电子科技大学,浙江
143,浙江工商大学,浙江
144,东北农业大学,黑龙江
145,南京林业大学,江苏
146,河南理工大学,河南
147,哈尔滨师范大学,黑龙江
148,中央民族大学,北京
149,西安理工大学,陕西
150,福建农林大学,福建
151,广东外语外贸大学,广东
152,江西师范大学,江西
153,大连海事大学,辽宁
154,青岛科技大学,山东
155,武汉科技大学,湖北
156,中北大学,山西
157,三峡大学,湖北
158,天津师范大学,天津
159,辽宁大学,辽宁
160,石河子大学,新疆
161,安徽医科大学,安徽
162,华东政法大学,上海
163,西安建筑科技大学,陕西
164,四川师范大学,四川
165,广州大学,广东
166,天津工业大学,天津
167,河北工业大学,河北
168,中国矿业大学(北京),北京
169,长沙理工大学,湖南
170,上海外国语大学,上海
171,湖南科技大学,湖南
172,哈尔滨理工大学,黑龙江
173,北京外国语大学,北京
174,湖北大学,湖北
175,湖南农业大学,湖南
176,海南大学,海南
177,中南民族大学,湖北
178,辽宁工程技术大学,辽宁
179,上海中医药大学,上海
180,温州大学,浙江
181,曲阜师范大学,山东
182,南华大学,湖南
183,陕西科技大学,陕西
184,常州大学,江苏
185,山东理工大学,山东
186,北京中医药大学,北京
187,西南石油大学,四川
188,西南科技大学,四川
189,内蒙古大学,内蒙古
190,兰州理工大学,甘肃
191,辽宁师范大学,辽宁
192,成都理工大学,四川
193,重庆邮电大学,重庆
194,山东财经大学,山东
195,河北师范大学,河北
196,中国计量大学,浙江
197,河北农业大学,河北
198,江苏科技大学,江苏
199,河北医科大学,河北
200,河南农业大学,河南
