排名,排名1,学校,总分,星级,办学层次
1,1,北京大学,100.00,8★,世界一流大学
2,2,清华大学,99.84,8★,世界一流大学
3,3,中国科学院大学,87.00,8★,世界一流大学
4,3,上海交通大学,80.25,8★,世界一流大学
5,4,浙江大学,80.21,8★,世界一流大学
6,5,武汉大学,77.59,8★,世界一流大学
7,6,南京大学,77.52,8★,世界一流大学
8,6,复旦大学,77.52,8★,世界一流大学
9,8,中国科学技术大学,76.78,8★,世界一流大学
10,9,华中科技大学,76.38,7★,世界知名高水平大学
11,10,中国人民大学,73.75,8★,世界一流大学
12,10,天津大学,73.75,7★,世界知名高水平大学
13,10,北京师范大学,73.73,7★,世界知名高水平大学
14,12,西安交通大学,73.69,7★,世界知名高水平大学
15,13,吉林大学,73.35,7★,世界知名高水平大学
16,14,山东大学,72.78,7★,世界知名高水平大学
17,14,国防科技大学,72.78,8★,世界一流大学
18,15,中山大学,72.68,7★,世界知名高水平大学
19,16,南开大学,72.53,7★,世界知名高水平大学
20,17,哈尔滨工业大学,72.31,7★,世界知名高水平大学
21,18,北京航空航天大学,71.27,7★,世界知名高水平大学
22,19,四川大学,71.16,7★,世界知名高水平大学
23,20,同济大学,70.82,7★,世界知名高水平大学
24,21,厦门大学,70.44,7★,世界知名高水平大学
25,22,北京理工大学,69.19,7★,世界知名高水平大学
26,23,东南大学,68.84,7★,世界知名高水平大学
27,24,华南理工大学,68.22,6★,世界高水平大学
28,25,大连理工大学,67.82,6★,世界高水平大学
29,25,华东师范大学,67.81,6★,世界高水平大学
30,26,中南大学,67.69,7★,世界知名高水平大学
31,26,西北工业大学,67.69,7★,世界知名高水平大学
32,28,中国农业大学,66.81,7★,世界知名高水平大学
33,29,东北大学,66.03,6★,世界高水平大学
34,30,湖南大学,65.78,6★,世界高水平大学
35,30,电子科技大学,65.78,6★,世界高水平大学
36,32,兰州大学,65.32,6★,世界高水平大学
37,33,北京科技大学,65.22,6★,世界高水平大学
38,34,重庆大学,65.21,6★,世界高水平大学
39,35,武汉理工大学,64.76,6★,世界高水平大学
40,35,南京理工大学,64.76,6★,世界高水平大学
41,35,北京协和医学院,64.75,7★,世界知名高水平大学
42,37,西南大学,64.40,6★,世界高水平大学
43,37,华中师范大学,64.40,5★,中国一流大学
44,38,中国海洋大学,64.39,6★,世界高水平大学
45,39,暨南大学,64.10,5★,中国一流大学
46,40,河海大学,64.08,6★,世界高水平大学
47,40,南京师范大学,64.07,5★,中国一流大学
48,41,北京交通大学,64.01,5★,中国一流大学
49,42,南京农业大学,63.93,5★,中国一流大学
50,43,华东理工大学,63.89,5★,中国一流大学
51,44,苏州大学,63.85,5★,中国一流大学
52,45,华中农业大学,63.84,5★,中国一流大学
53,46,中南财经政法大学,63.64,6★,世界高水平大学
54,46,南京航空航天大学,63.64,5★,中国一流大学
55,48,西安电子科技大学,63.58,5★,中国一流大学
56,49,合肥工业大学,63.54,5★,中国一流大学
57,50,西南交通大学,63.49,5★,中国一流大学
58,51,西北农林科技大学,63.26,5★,中国一流大学
59,52,西北大学,63.23,5★,中国一流大学
60,52,湖南师范大学,63.23,5★,中国一流大学
61,53,郑州大学,63.22,5★,中国一流大学
62,53,东北师范大学,63.22,5★,中国一流大学
63,54,华南农业大学,63.20,5★,中国一流大学
64,55,昆明理工大学,63.19,5★,中国一流大学
65,56,深圳大学,63.18,5★,中国一流大学
66,57,北京邮电大学,63.17,6★,世界高水平大学
67,57,华南师范大学,63.17,5★,中国一流大学
