排名,学校,总分
1,清华大学,129.25
2,北京大学,116
3,浙江大学,112.22
4,上海交通大学,100.25
5,武汉大学,94.55
6,华中科技大学,89.31
7,南京大学,82.31
8,复旦大学,82.25
9,四川大学,79.28
10,中山大学,77.29
11,吉林大学,72.15
13,西安交通大学,69.19
14,中南大学,69.03
15,山东大学,68.85
16,东南大学,62.67
17,中国科学技术大学,61.16
18,中国人民大学,60.75
19,天津大学,59.12
20,华南理工大学,58.13
21,同济大学,57.71
22,苏州大学,53.11
23,北京航空航天大学,53.07
24,北京师范大学,51.88
25,湖南大学,49.87
26,重庆大学,49.41
27,西北工业大学,49.06
28,南开大学,47.24
29,厦门大学,47.2
30,大连理工大学,45.67
31,华东师范大学,43.39
32,北京理工大学,42.56
33,郑州大学,40.99
34,电子科技大学,40.6
35,中国农业大学,36.29
36,武汉理工大学,36.25
37,兰州大学,35.48
38,江苏大学,35.36
39,西北农林科技大学,35.32
40,西南大学,34.78
41,上海大学,34.38
42,南京航空航天大学,32.86
43,南京理工大学,32.25
44,东北大学,31.68
45,江南大学,29.3
46,南京农业大学,29.17
47,北京科技大学,29.11
48,西南交通大学,28.66
49,华东理工大学,27.7
50,河海大学,27.7
51,西安电子科技大学,27.69
52,华北电力大学,27.56
53,暨南大学,27.49
54,南昌大学,27.48
55,南京师范大学,26.98
56,中国矿业大学,26.88
58,华中师范大学,26.27
59,北京化工大学,26.14
60,南京医科大学,25.9
61,深圳大学,25.87
62,华中农业大学,25.52
63,扬州大学,24.54
64,南京工业大学,24.45
65,北京交通大学,24.44
66,浙江工业大学,24.35
67,首都医科大学,24.15
68,福州大学,24.04
69,陕西师范大学,23.79
70,合肥工业大学,23.57
71,河南大学,23.24
72,青岛大学,23.19
73,北京工业大学,23.06
74,西北大学,22.36
75,南京林业大学,22.36
76,南京信息工程大学,22.21
77,中国海洋大学,21.99
78,中国石油大学（华东）,21.55
79,上海理工大学,21.23
80,华南师范大学,21.22
81,华南农业大学,21.18
82,南方医科大学,21.14
83,中国地质大学（武汉）,21.11
84,东北师范大学,20.7
85,北京邮电大学,19.89
86,宁波大学,19.44
87,南京邮电大学,19.26
88,燕山大学,19.25
89,中南财经政法大学,18.73
90,山东师范大学,18.71
91,温州医科大学,18.68
92,北京林业大学,18.11
93,湖南师范大学,17.74
94,重庆医科大学,17.73
95,安徽大学,17.66
96,昆明理工大学,17.42
97,东华大学,17.42
98,中国医科大学,17.34
99,浙江师范大学,17.32
100,广东工业大学,17.31
101,山东科技大学,17.09
102,太原理工大学,17.05
103,中国药科大学,17.01
104,济南大学,16.92
105,上海财经大学,16.91
106,南通大学,16.9
107,中国政法大学,16.89
108,西南财经大学,16.65
109,贵州大学,16.48
110,四川农业大学,16.45
112,山西大学,16.41
113,湘潭大学,16.4
114,中央财经大学,16.36
115,长安大学,16.2
116,广西大学,15.8
117,江苏师范大学,15.77
118,中国石油大学（北京）,15.74
119,中国地质大学（北京）,15.69
120,对外经济贸易大学,15.69
121,云南大学,15.32
122,河南师范大学,15.16
123,首都师范大学,15.12
124,天津医科大学,14.76
125,南京中医药大学,14.72
126,浙江理工大学,14.48
127,福建农林大学,14.47
128,福建师范大学,14.46
129,杭州电子科技大学,14.43
130,河南科技大学,14.33
131,曲阜师范大学,14.26
132,山东农业大学,14.24
134,广州大学,14.12
135,武汉科技大学,14.05
136,上海师范大学,13.94
137,北京中医药大学,13.88
138,河北工业大学,13.8
139,西北师范大学,13.75
140,安徽医科大学,13.73
142,华东政法大学,13.45
143,广州医科大学,13.45
144,河北大学,13.27
145,江西师范大学,13.13
146,西安理工大学,13.08
148,西南石油大学,12.75
149,西安建筑科技大学,12.75
150,西南政法大学,12.71
151,河南理工大学,12.71
152,广州中医药大学,12.6
153,青岛科技大学,12.6
154,华侨大学,12.56
155,江西财经大学,12.49
156,安徽师范大学,12.48
157,南方科技大学,12.38
158,四川师范大学,12.21
159,中国矿业大学（北京）,12.2
160,中北大学,11.99
161,湖北大学,11.96
162,石河子大学,11.91
163,常州大学,11.9
164,广东外语外贸大学,11.84
165,海南大学,11.77
166,杭州师范大学,11.69
167,大连海事大学,11.68
168,西南科技大学,11.67
169,辽宁大学,11.59
170,中国传媒大学,11.5
171,陕西科技大学,11.47
172,三峡大学,11.32
173,山东理工大学,11.31
174,山东财经大学,11.29
175,上海中医药大学,11.23
176,福建医科大学,11.22
177,江苏科技大学,11.15
178,重庆邮电大学,11.13
179,东北财经大学,11.11
180,长沙理工大学,11.01
181,浙江工商大学,10.99
182,大连医科大学,10.94
183,北京外国语大学,10.93
184,成都理工大学,10.9
185,新疆大学,10.85
186,天津工业大学,10.82
187,湖南农业大学,10.76
188,河北医科大学,10.72
189,兰州理工大学,10.57
190,中央民族大学,10.5
191,河南农业大学,10.42
193,湖南科技大学,10.31
194,首都经济贸易大学,10.23
195,温州大学,10.19
196,长江大学,10.17
197,中南民族大学,10.17
198,河北农业大学,10.15
199,青岛农业大学,10.05
200,广西师范大学,9.92
201,安徽农业大学,9.7
202,南京财经大学,9.66
203,山西医科大学,9.66
204,中国计量大学,9.57
205,沈阳农业大学,9.49
206,辽宁师范大学,9.48
207,华北理工大学,9.48
