学校,省份,类别,排名,总分
清华大学,北京,综合,1,992.6
北京大学,北京,综合,2,898.6
浙江大学,浙江,综合,3,793.8
上海交通大学,上海,综合,4,776.3
复旦大学,上海,综合,5,697.0
南京大学,江苏,综合,6,656.1
中国科学技术大学,安徽,理工,7,578.4
华中科技大学,湖北,综合,8,578.0
武汉大学,湖北,综合,9,577.3
西安交通大学,陕西,综合,10,566.4
中山大学,广东,综合,11,539.6
北京航空航天大学,北京,理工,12,537.2
东南大学,江苏,综合,13,530.7
北京理工大学,北京,理工,14,530.2
四川大学,四川,综合,15,527.9
哈尔滨工业大学,黑龙江,理工,16,514.1
同济大学,上海,综合,17,509.6
中国人民大学,北京,综合,18,508.3
北京师范大学,北京,师范,19,501.4
天津大学,天津,理工,20,491.5
南开大学,天津,综合,21,481.8
山东大学,山东,综合,22,476.3
西北工业大学,陕西,理工,23,459.9
厦门大学,福建,综合,24,458.2
中南大学,湖南,综合,25,456.1
吉林大学,吉林,综合,26,443.7
中国农业大学,北京,农业,27,440.6
大连理工大学,辽宁,理工,28,435.7
华东师范大学,上海,师范,29,431.2
华南理工大学,广东,理工,30,430.6
电子科技大学,四川,理工,31,426.1
湖南大学,湖南,综合,32,422.2
重庆大学,重庆,综合,33,407.5
南方科技大学,广东,综合,34,396.4
北京科技大学,北京,理工,35,384.8
南京航空航天大学,江苏,理工,36,380.1
南京理工大学,江苏,理工,37,373.4
兰州大学,甘肃,综合,38,367.6
东北大学,辽宁,理工,39,366.8
西安电子科技大学,陕西,理工,40,355.4
北京交通大学,北京,理工,41,352.1
上海科技大学,上海,综合,42,348.5
苏州大学,江苏,综合,43,347.0
华东理工大学,上海,理工,44,341.5
哈尔滨工程大学,黑龙江,理工,45,340.9
东北师范大学,吉林,师范,46,340.8
华中农业大学,湖北,农业,47,338.1
中国石油大学（北京）,北京,理工,48,331.4
南京农业大学,江苏,农业,49,330.8
郑州大学,河南,综合,50,326.1
暨南大学,广东,综合,51,323.4
南京师范大学,江苏,师范,52,322.7
武汉理工大学,湖北,理工,52,322.7
中国矿业大学,江苏,理工,54,321.7
江南大学,江苏,综合,55,321.4
上海大学,上海,综合,56,320.6
中国海洋大学,山东,综合,57,319.1
华中师范大学,湖北,师范,58,318.5
西南交通大学,四川,理工,59,317.0
中国石油大学（华东）,山东,理工,60,313.9
中国地质大学（武汉）,湖北,理工,61,313.2
陕西师范大学,陕西,师范,62,312.6
北京邮电大学,北京,理工,63,311.3
浙江工业大学,浙江,理工,64,309.7
河海大学,江苏,理工,65,307.7
北京工业大学,北京,理工,66,306.1
西北大学,陕西,综合,67,305.2
北京化工大学,北京,理工,68,300.9
西南大学,重庆,综合,69,300.6
云南大学,云南,综合,70,297.8
南昌大学,江西,综合,71,297.0
深圳大学,广东,综合,72,296.4
西北农林科技大学,陕西,农业,73,292.4
中国地质大学（北京）,北京,理工,74,291.4
华北电力大学,北京,理工,75,286.4
东华大学,上海,理工,76,282.8
中国矿业大学（北京）,北京,理工,77,282.3
宁波大学,浙江,综合,78,281.3
华南师范大学,广东,师范,79,280.8
江苏大学,江苏,综合,80,280.2
福州大学,福建,理工,81,277.5
扬州大学,江苏,综合,82,271.8
合肥工业大学,安徽,理工,83,270.2
北京林业大学,北京,林业,84,269.6
南京邮电大学,江苏,理工,85,268.0
湖南师范大学,湖南,师范,86,263.7
福建师范大学,福建,师范,87,263.1
浙江师范大学,浙江,师范,88,262.4
南京工业大学,江苏,理工,89,258.9
广西大学,广西,综合,90,257.6
首都师范大学,北京,师范,91,257.3
长安大学,陕西,理工,92,257.0
南京林业大学,江苏,林业,93,253.0
华南农业大学,广东,农业,94,251.9
安徽大学,安徽,综合,95,249.5
贵州大学,贵州,综合,95,249.5
杭州电子科技大学,浙江,理工,97,248.2
广州大学,广东,综合,98,247.7
河南大学,河南,综合,99,247.6
广东工业大学,广东,理工,100,247.2
山西大学,山西,综合,101,247.0
湘潭大学,湖南,综合,102,246.6
南京信息工程大学,江苏,理工,103,245.9
海南大学,海南,综合,104,245.7
山东师范大学,山东,师范,105,245.4
浙江理工大学,浙江,理工,105,245.4
上海理工大学,上海,理工,107,244.8
太原理工大学,山西,理工,108,243.5
河北工业大学,河北,理工,109,241.0
青岛大学,山东,综合,110,239.9
大连海事大学,辽宁,综合,111,238.5
燕山大学,河北,理工,112,237.5
东北林业大学,黑龙江,林业,113,237.3
西安建筑科技大学,陕西,理工,114,236.9
昆明理工大学,云南,理工,115,232.5
内蒙古大学,内蒙古,综合,116,231.7
江西师范大学,江西,师范,117,230.8
西安理工大学,陕西,理工,118,230.7
上海师范大学,上海,师范,119,230.0
杭州师范大学,浙江,师范,120,227.7
东北农业大学,黑龙江,农业,121,222.8
武汉科技大学,湖北,理工,122,222.4
山东科技大学,山东,理工,123,221.2
陕西科技大学,陕西,理工,124,221.0
福建农林大学,福建,农业,125,218.2
长沙理工大学,湖南,理工,126,217.7
河北大学,河北,综合,126,217.7
宁夏大学,宁夏,综合,128,217.4
新疆大学,新疆,综合,129,216.8
西南石油大学,四川,理工,130,216.4
辽宁大学,辽宁,综合,131,216.1
温州大学,浙江,综合,132,216.0
湖北大学,湖北,综合,133,215.5
四川农业大学,四川,农业,134,210.0
长春理工大学,吉林,理工,135,209.9
石河子大学,新疆,综合,136,209.4
中国计量大学,浙江,理工,136,209.4
天津工业大学,天津,理工,138,208.2
安徽师范大学,安徽,师范,139,206.9
江苏科技大学,江苏,理工,139,206.9
天津师范大学,天津,师范,141,206.5
齐鲁工业大学,山东,理工,142,205.8
江苏师范大学,江苏,师范,143,205.3
山东农业大学,山东,农业,144,205.2
上海海洋大学,上海,农业,145,204.4
湖北工业大学,湖北,理工,146,202.1
浙江农林大学,浙江,林业,147,201.7
河南农业大学,河南,农业,148,201.4
常州大学,江苏,理工,149,200.9
沈阳农业大学,辽宁,农业,150,200.8
河南师范大学,河南,师范,151,200.5
重庆邮电大学,重庆,理工,152,200.4
安徽农业大学,安徽,农业,153,199.2
成都理工大学,四川,理工,154,198.8
广西师范大学,广西,师范,155,198.0
黑龙江大学,黑龙江,综合,156,197.6
北京建筑大学,北京,理工,157,196.3
武汉工程大学,湖北,理工,158,196.0
南通大学,江苏,综合,159,195.7
河北师范大学,河北,师范,160,194.5
天津科技大学,天津,理工,161,194.1
青岛科技大学,山东,理工,162,193.7
华侨大学,福建,综合,163,193.1
河南科技大学,河南,综合,164,192.9
延边大学,吉林,综合,165,192.4
汕头大学,广东,综合,166,192.2
武汉纺织大学,湖北,理工,167,192.1
江西理工大学,江西,理工,168,191.9
西安科技大学,陕西,理工,169,191.6
集美大学,福建,综合,170,191.2
西北师范大学,甘肃,师范,171,190.7
湖南农业大学,湖南,农业,172,190.3
青海大学,青海,综合,173,189.7
辽宁师范大学,辽宁,师范,174,188.5
上海海事大学,上海,综合,175,188.4
吉林农业大学,吉林,农业,176,188.3
曲阜师范大学,山东,师范,177,187.1
三峡大学,湖北,综合,177,187.1
华东交通大学,江西,理工,179,186.8
济南大学,山东,综合,179,186.8
中北大学,山西,理工,179,186.8
南昌航空大学,江西,理工,182,185.6
天津理工大学,天津,理工,183,184.9
湖南科技大学,湖南,综合,184,183.7
安徽工业大学,安徽,理工,185,183.2
长江大学,湖北,综合,186,182.1
兰州理工大学,甘肃,理工,186,182.1
重庆交通大学,重庆,理工,188,180.7
沈阳工业大学,辽宁,理工,189,180.1
烟台大学,山东,综合,190,179.6
山东理工大学,山东,理工,191,179.5
安徽理工大学,安徽,理工,192,179.3
西藏大学,西藏,综合,192,179.3
上海电力大学,上海,理工,194,178.4
河北农业大学,河北,农业,195,178.0
北方工业大学,北京,理工,196,177.2
西安邮电大学,陕西,理工,196,177.2
北京电子科技学院,北京,理工,198,176.9
四川师范大学,四川,师范,199,175.8
云南师范大学,云南,师范,200,175.1
