排名,排名1,学校,地区,总分
1,1,北京大学,北京,100
2,2,清华大学,北京,96.91
3,3,武汉大学,湖北,82.57
4,4,复旦大学,上海,82.47
5,5,浙江大学,浙江,82.31
6,6,上海交通大学,上海,81.73
7,7,南京大学,江苏,80.28
8,8,中国人民大学,北京,79.28
9,9,吉林大学,吉林,76.01
10,10,华中科技大学,湖北,74.84
11,11,四川大学,四川,74.75
12,12,中山大学,广东,74.65
13,13,南开大学,天津,73.96
14,14,天津大学,天津,72.80
15,15,中国科学技术大学,安徽,72.42
16,16,西安交通大学,陕西,72.29
17,17,中南大学,湖南,71.97
18,18,哈尔滨工业大学,黑龙江,71.96
19,19,北京师范大学,北京,71.94
20,20,山东大学,山东,71.91
21,21,厦门大学,福建,70.51
22,22,东南大学,江苏,70.24
23,23,北京航空航天大学,北京,69.68
24,24,同济大学,上海,69.63
25,25,东北大学,辽宁,68.01
26,26,大连理工大学,辽宁,67.98
27,27,华南理工大学,广东,67.92
28,28,华东师范大学,上海,67.91
29,29,电子科技大学,四川,67.52
30,30,湖南大学,湖南,67.34
31,31,重庆大学,重庆,67.22
32,32,西北工业大学,陕西,67.02
33,33,中国农业大学,北京,66.86
34,34,兰州大学,甘肃,66.79
35,35,北京理工大学,北京,66.06
36,36,华中师范大学,湖北,65.73
37,37,西南大学,重庆,65.64
38,38,东北师范大学,吉林,65.58
39,39,南京农业大学,江苏,64.95
40,40,北京交通大学,北京,64.81
41,41,西南交通大学,四川,64.80
42,42,长安大学,陕西,64.78
43,43,武汉理工大学,湖北,64.76
44,44,河海大学,江苏,64.66
45,45,华中农业大学,湖北,64.65
46,46,南京师范大学,江苏,64.54
47,47,郑州大学,河南,64.52
48,48,南京理工大学,江苏,64.31
49,49,西安电子科技大学,陕西,64.30
50,50,中国海洋大学,山东,64.26
51,51,华东理工大学,上海,64.25
52,52,苏州大学,江苏,64.22
53,53,南京航空航天大学,江苏,64.21
54,54,西北大学,陕西,64.20
55,55,中国矿业大学,江苏,64.18
56,55,北京科技大学,北京,64.18
57,57,北京协和医学院,北京,64.09
58,58,上海大学,上海,63.98
59,59,南昌大学,江西,63.94
60,60,西北农林科技大学,陕西,63.91
61,61,湖南师范大学,湖南,63.72
62,62,云南大学,云南,63.68
63,63,哈尔滨工程大学,黑龙江,63.67
64,64,华南师范大学,广东,63.49
65,64,东华大学,上海,63.49
66,66,上海财经大学,上海,63.48
67,67,陕西师范大学,陕西,63.42
68,68,中国政法大学,北京,63.40
69,69,暨南大学,广东,63.39
70,70,北京邮电大学,北京,63.37
71,71,江南大学,江苏,63.36
72,72,合肥工业大学,安徽,63.30
73,73,北京化工大学,北京,63.28
74,74,中南财经政法大学,湖北,63.25
75,75,福建师范大学,福建,63.23
76,76,中国地质大学（武汉）,湖北,63.18
77,76,深圳大学,广东,63.18
78,76,福州大学,福建,63.18
79,79,山西大学,山西,63.12
80,80,西南财经大学,四川,63.11
81,81,广西大学,广西,63.02
82,81,首都师范大学,北京,63.02
83,83,华南农业大学,广东,62.99
84,84,北京工业大学,北京,62.98
85,85,北京林业大学,北京,62.97
86,85,河南大学,河南,62.97
87,87,昆明理工大学,云南,62.96
88,87,燕山大学,河北,62.96
89,87,浙江工业大学,浙江,62.96
90,90,中央民族大学,北京,62.95
91,91,中国石油大学（华东）,山东,62.88
92,92,对外经济贸易大学,北京,62.83
93,92,浙江师范大学,浙江,62.83
94,94,首都医科大学,北京,62.75
95,95,安徽大学,安徽,62.71
96,96,上海理工大学,上海,62.70
97,96,南京工业大学,江苏,62.70
98,98,天津师范大学,天津,62.68
99,98,杭州电子科技大学,浙江,62.68
100,100,河北大学,河北,62.66
101,101,东北林业大学,黑龙江,62.62
102,102,湘潭大学,湖南,62.61
103,102,新疆大学,新疆,62.61
104,104,宁波大学,浙江,62.59
