排名,排名1,学校,总分,办学类型,星级,办学层次
1,1,北京大学,100.0,研究型,8星级,世界一流大学
2,2,清华大学,99.58,研究型,8星级,世界一流大学
3,3,浙江大学,82.56,研究型,7星级,世界知名高水平、中国顶尖大学
4,4,复旦大学,82.17,研究型,7星级,世界知名高水平、中国顶尖大学
5,5,中国人民大学,81.51,研究型,8星级,世界一流大学
6,6,上海交通大学,81.5,研究型,7星级,世界知名高水平、中国顶尖大学
7,7,武汉大学,81.49,研究型,7星级,世界知名高水平、中国顶尖大学
8,8,南京大学,80.7,研究型,7星级,世界知名高水平、中国顶尖大学
9,9,中山大学,76.16,研究型,7星级,世界知名高水平、中国顶尖大学
10,10,吉林大学,75.99,研究型,7星级,世界知名高水平、中国顶尖大学
11,11,华中科技大学,75.04,研究型,7星级,世界知名高水平、中国顶尖大学
12,12,四川大学,74.5,研究型,7星级,世界知名高水平、中国顶尖大学
13,13,天津大学,73.54,研究型,7星级,世界知名高水平、中国顶尖大学
14,14,南开大学,73.5,研究型,7星级,世界知名高水平、中国顶尖大学
15,14,西安交通大学,73.5,研究型,7星级,世界知名高水平、中国顶尖大学
16,16,中国科学技术大学,72.93,研究型,7星级,世界知名高水平、中国顶尖大学
17,17,中南大学,72.56,研究型,6星级,世界高水平、中国顶尖大学
18,18,哈尔滨工业大学,72.55,研究型,7星级,世界知名高水平、中国顶尖大学
19,19,北京师范大学,72.5,研究型,6星级,世界高水平、中国顶尖大学
20,20,山东大学,72.13,研究型,6星级,世界高水平、中国顶尖大学
21,21,厦门大学,71.43,研究型,6星级,世界高水平、中国顶尖大学
22,22,东南大学,71.09,研究型,6星级,世界高水平、中国顶尖大学
23,23,同济大学,71.08,研究型,6星级,世界高水平、中国顶尖大学
24,24,北京航空航天大学,69.7,研究型,6星级,世界高水平、中国顶尖大学
25,25,大连理工大学,68.46,研究型,5星级,世界知名、中国一流大学
26,26,东北大学,68.11,研究型,5星级,世界知名、中国一流大学
27,26,华南理工大学,68.11,研究型,5星级,世界知名、中国一流大学
28,28,华东师范大学,68.02,研究型,5星级,世界知名、中国一流大学
29,29,北京理工大学,67.75,研究型,5星级,世界知名、中国一流大学
30,30,西北工业大学,67.54,研究型,5星级,世界知名、中国一流大学
31,31,重庆大学,67.44,研究型,5星级,世界知名、中国一流大学
32,32,兰州大学,67.16,研究型,6星级,世界高水平、中国顶尖大学
33,33,中国农业大学,66.9,特色研究型,6星级,世界高水平、中国顶尖大学
34,34,电子科技大学,66.31,特色研究型,5星级,世界知名、中国一流大学
35,35,湖南大学,66.25,研究型,5星级,世界知名、中国一流大学
36,36,东北师范大学,65.91,特色研究型,5星级,世界知名、中国一流大学
37,37,西南大学,65.89,研究型,4星级,世界知名、中国高水平大学
38,38,武汉理工大学,65.52,特色研究型,4星级,世界知名、中国高水平大学
39,39,西南交通大学,65.43,特色研究型,5星级,世界知名、中国一流大学
40,40,北京交通大学,65.41,特色研究型,4星级,世界知名、中国高水平大学
41,41,华中师范大学,65.4,特色研究型,4星级,世界知名、中国高水平大学
42,42,河海大学,65.22,特色研究型,5星级,世界知名、中国一流大学
43,43,南京农业大学,65.08,特色研究型,4星级,世界知名、中国高水平大学
44,44,南京理工大学,65.02,特色研究型,4星级,世界知名、中国高水平大学
45,44,南京师范大学,65.02,特色研究型,4星级,世界知名、中国高水平大学
46,46,西安电子科技大学,64.94,特色研究型,4星级,世界知名、中国高水平大学
47,47,北京科技大学,64.91,特色研究型,4星级,世界知名、中国高水平大学
48,48,华中农业大学,64.89,特色研究型,4星级,世界知名、中国高水平大学
49,49,郑州大学,64.79,区域研究型,5星级,世界知名、中国一流大学
50,50,中国海洋大学,64.77,特色研究型,5星级,世界知名、中国一流大学
51,51,西北大学,64.65,区域研究型,4星级,世界知名、中国高水平大学
52,52,华东理工大学,64.64,特色研究型,4星级,世界知名、中国高水平大学
53,53,中国矿业大学,64.62,特色研究型,5星级,世界知名、中国一流大学
54,54,南京航空航天大学,64.5,特色研究型,4星级,世界知名、中国高水平大学
55,55,上海大学,64.42,区域研究型,4星级,世界知名、中国高水平大学
56,56,北京协和医学院,64.41,特色研究型,6星级,世界高水平、中国顶尖大学
57,57,西北农林科技大学,64.34,特色研究型,5星级,世界知名、中国一流大学
58,58,苏州大学,64.21,区域研究型,4星级,世界知名、中国高水平大学
59,59,北京邮电大学,64.01,特色研究型,5星级,世界知名、中国一流大学
60,60,中国地质大学（武汉）,64.0,特色研究型,5星级,世界知名、中国一流大学
61,61,北京化工大学,63.83,特色研究型,4星级,世界知名、中国高水平大学
62,61,上海财经大学,63.83,特色研究型,6星级,世界高水平、中国顶尖大学
63,61,长安大学,63.83,特色研究型,4星级,世界知名、中国高水平大学
64,64,云南大学,63.8,区域研究型,5星级,世界知名、中国一流大学
65,65,哈尔滨工程大学,63.79,特色研究型,4星级,世界知名、中国高水平大学
66,65,合肥工业大学,63.79,特色研究型,4星级,世界知名、中国高水平大学
67,65,中国政法大学,63.79,特色研究型,6星级,世界高水平、中国顶尖大学
68,68,湖南师范大学,63.78,区域特色研究型,4星级,世界知名、中国高水平大学
69,69,东华大学,63.73,特色研究型,4星级,世界知名、中国高水平大学
70,70,南昌大学,63.7,区域研究型,4星级,世界知名、中国高水平大学
71,71,中南财经政法大学,63.67,特色研究型,5星级,世界知名、中国一流大学
72,72,昆明理工大学,63.62,区域研究型,4星级,世界知名、中国高水平大学
73,73,深圳大学,63.61,区域研究型,4星级,世界知名、中国高水平大学
74,74,暨南大学,63.59,特色研究型,4星级,世界知名、中国高水平大学
75,75,华南师范大学,63.58,区域特色研究型,4星级,世界知名、中国高水平大学
76,75,陕西师范大学,63.58,特色研究型,4星级,世界知名、中国高水平大学
77,75,首都师范大学,63.58,区域特色研究型,4星级,世界知名、中国高水平大学
78,75,江南大学,63.58,特色研究型,4星级,世界知名、中国高水平大学
79,79,福建师范大学,63.52,区域特色研究型,4星级,世界知名、中国高水平大学
80,80,中央民族大学,63.51,特色研究型,6星级,世界高水平、中国顶尖大学
81,81,福州大学,63.45,区域研究型,4星级,世界知名、中国高水平大学
82,82,北京工业大学,63.44,区域研究型,4星级,世界知名、中国高水平大学
83,83,广西大学,63.43,区域研究型,4星级,世界知名、中国高水平大学
84,84,燕山大学,63.32,区域研究型,4星级,世界知名、中国高水平大学
85,84,河南大学,63.32,区域研究型,4星级,世界知名、中国高水平大学
86,86,中国石油大学（华东）,63.31,特色研究型,5星级,世界知名、中国一流大学
87,87,宁波大学,63.3,区域研究型,4星级,世界知名、中国高水平大学
88,87,华南农业大学,63.3,区域特色研究型,4星级,世界知名、中国高水平大学
89,89,浙江工业大学,63.29,区域研究型,4星级,世界知名、中国高水平大学
90,90,山西大学,63.28,区域研究型,4星级,世界知名、中国高水平大学
