学校,省份,类别,排名,总分
清华大学,北京,综合,1,1004.1
北京大学,北京,综合,2,910.5
浙江大学,浙江,综合,3,822.9
上海交通大学,上海,综合,4,778.6
复旦大学,上海,综合,5,712.4
南京大学,江苏,综合,6,676.2
中国科学技术大学,安徽,理工,7,608.6
华中科技大学,湖北,综合,8,606.2
武汉大学,湖北,综合,9,599.1
西安交通大学,陕西,综合,10,572.6
中山大学,广东,综合,11,570.0
四川大学,四川,综合,12,546.9
哈尔滨工业大学,黑龙江,理工,13,544.2
北京航空航天大学,北京,理工,14,543.5
东南大学,江苏,综合,15,532.3
北京理工大学,北京,理工,16,529.3
同济大学,上海,综合,17,527.0
中国人民大学,北京,综合,18,526.3
北京师范大学,北京,师范,19,523.4
南开大学,天津,综合,20,490.4
天津大学,天津,理工,21,480.5
山东大学,山东,综合,22,472.8
中南大学,湖南,综合,23,466.1
厦门大学,福建,综合,24,463.2
西北工业大学,陕西,理工,25,462.0
华南理工大学,广东,理工,26,444.2
吉林大学,吉林,综合,27,439.1
电子科技大学,四川,理工,28,437.0
湖南大学,湖南,综合,29,435.5
中国农业大学,北京,农业,30,432.8
华东师范大学,上海,师范,31,428.2
大连理工大学,辽宁,理工,32,417.4
南方科技大学,广东,综合,33,413.0
重庆大学,重庆,综合,34,397.7
北京科技大学,北京,理工,35,382.8
南京理工大学,江苏,理工,36,381.2
南京航空航天大学,江苏,理工,37,376.6
东北大学,辽宁,理工,38,369.4
西安电子科技大学,陕西,理工,39,363.8
兰州大学,甘肃,综合,40,362.2
苏州大学,江苏,综合,40,362.2
华中农业大学,湖北,农业,42,361.0
北京交通大学,北京,理工,43,346.9
华东理工大学,上海,理工,44,346.1
上海科技大学,上海,综合,45,343.3
郑州大学,河南,综合,46,336.5
华中师范大学,湖北,师范,47,334.2
上海大学,上海,综合,48,333.2
哈尔滨工程大学,黑龙江,理工,49,332.6
暨南大学,广东,综合,50,332.4
南京农业大学,江苏,农业,51,330.7
中国石油大学（北京）,北京,理工,52,330.1
东北师范大学,吉林,师范,53,327.2
武汉理工大学,湖北,理工,54,326.1
西南交通大学,四川,理工,55,325.1
中国矿业大学,江苏,理工,56,324.0
北京邮电大学,北京,理工,57,323.4
南京师范大学,江苏,师范,58,322.7
中国地质大学（武汉）,湖北,理工,59,322.5
江南大学,江苏,综合,60,321.6
河海大学,江苏,理工,61,320.9
中国海洋大学,山东,综合,62,319.8
北京工业大学,北京,理工,63,314.2
北京化工大学,北京,理工,64,309.6
西北大学,陕西,综合,65,306.8
中国石油大学（华东）,山东,理工,66,304.4
陕西师范大学,陕西,师范,67,301.7
深圳大学,广东,综合,68,301.4
南昌大学,江西,综合,69,299.5
浙江工业大学,浙江,理工,70,298.8
中国地质大学（北京）,北京,理工,71,296.0
西南大学,重庆,综合,72,294.5
福州大学,福建,理工,73,290.6
西北农林科技大学,陕西,农业,74,288.1
华北电力大学,北京,理工,75,287.6
中国矿业大学（北京）,北京,理工,76,284.2
东华大学,上海,理工,77,284.0
江苏大学,江苏,综合,78,283.4
华南师范大学,广东,师范,79,281.5
云南大学,云南,综合,80,281.3
扬州大学,江苏,综合,81,279.0
北京林业大学,北京,林业,82,278.8
合肥工业大学,安徽,理工,83,270.4
宁波大学,浙江,综合,84,270.1
南京工业大学,江苏,理工,85,268.5
南京邮电大学,江苏,理工,86,268.2
湖南师范大学,湖南,师范,87,263.5
长安大学,陕西,理工,88,258.5
首都师范大学,北京,师范,89,256.7
南京信息工程大学,江苏,理工,90,255.5
杭州电子科技大学,浙江,理工,91,252.8
湘潭大学,湖南,综合,92,252.4
华南农业大学,广东,农业,93,252.3
燕山大学,河北,理工,94,251.8
福建师范大学,福建,师范,95,250.1
广西大学,广西,综合,96,249.0
广州大学,广东,综合,97,248.8
河南大学,河南,综合,98,248.1
大连海事大学,辽宁,综合,99,246.7
浙江师范大学,浙江,师范,100,246.4
广东工业大学,广东,理工,101,246.1
上海理工大学,上海,理工,102,243.1
山西大学,山西,综合,103,241.3
安徽大学,安徽,综合,104,240.4
山东师范大学,山东,师范,105,237.7
河北工业大学,河北,理工,106,236.8
青岛大学,山东,综合,107,236.6
太原理工大学,山西,理工,107,236.6
贵州大学,贵州,综合,109,235.6
南京林业大学,江苏,林业,110,234.5
上海师范大学,上海,师范,111,232.8
武汉科技大学,湖北,理工,111,232.8
内蒙古大学,内蒙古,综合,113,231.3
浙江理工大学,浙江,理工,114,231.1
东北林业大学,黑龙江,林业,115,228.7
福建农林大学,福建,农业,116,227.5
西安理工大学,陕西,理工,117,227.3
海南大学,海南,综合,118,226.7
江西师范大学,江西,师范,119,223.8
东北农业大学,黑龙江,农业,120,221.1
长沙理工大学,湖南,理工,121,221.0
西安建筑科技大学,陕西,理工,122,220.9
湖北大学,湖北,综合,123,220.7
昆明理工大学,云南,理工,124,219.8
江苏师范大学,江苏,师范,125,213.2
山东科技大学,山东,理工,126,211.4
辽宁大学,辽宁,综合,127,209.4
西南石油大学,四川,理工,128,209.3
杭州师范大学,浙江,师范,129,209.1
河北大学,河北,综合,130,208.7
