排名,排名1,学校
1,1,北京大学
2,2,清华大学
3,3,复旦大学
4,4,武汉大学
5,5,中国人民大学
6,6,浙江大学
7,7,上海交通大学
8,8,南京大学
9,9,中国科学技术大学
10,10,国防科学技术大学
11,11,吉林大学
12,12,北京师范大学
13,13,南开大学
14,14,中山大学
15,15,四川大学
16,16,华中科技大学
17,17,西安交通大学
18,18,同济大学
19,19,中南大学
20,20,哈尔滨工业大学
21,21,山东大学
22,22,厦门大学
23,23,东南大学
24,24,天津大学
25,25,重庆大学
26,26,北京航空航天大学
27,27,华东师范大学
28,28,东北大学
29,29,北京理工大学
30,30,华中师范大学
31,31,大连理工大学
32,32,西北工业大学
33,33,华南理工大学
34,34,湖南大学
35,35,中国农业大学
36,36,兰州大学
37,37,电子科技大学
38,38,北京协和医学院
39,39,东北师范大学
40,40,北京科技大学
41,41,西北大学
42,42,武汉理工大学
43,43,长安大学
44,44,北京交通大学
45,45,中国地质大学
46,46,中国矿业大学
47,47,南京农业大学
48,48,南京师范大学
49,48,哈尔滨工程大学
50,50,华中农业大学
51,51,华东理工大学
52,52,中国海洋大学
53,53,南京理工大学
54,54,解放军信息工程大学
55,55,西南交通大学
56,56,西南大学
57,57,第三军医大学
58,58,暨南大学
59,59,上海财经大学
60,60,第二军医大学
61,61,北京邮电大学
62,62,中国政法大学
63,63,云南大学
64,64,第四军医大学
65,64,南京航空航天大学
66,66,合肥工业大学
67,67,中国石油大学
68,68,湖南师范大学
69,68,西北农林科技大学
70,70,苏州大学
71,71,西安电子科技大学
72,72,河海大学
73,73,中南财经政法大学
74,74,郑州大学
75,75,华南师范大学
76,76,西南财经大学
77,77,南昌大学
78,78,东华大学
79,79,上海大学
80,80,北京化工大学
81,81,中央财经大学
82,82,中央民族大学
83,83,陕西师范大学
84,84,福州大学
85,85,北京林业大学
86,86,解放军理工大学
87,87,对外经济贸易大学
88,88,华北电力大学
89,89,广西大学
90,89,华南农业大学
91,91,北京工业大学
92,92,首都师范大学
93,93,福建师范大学
94,94,东北林业大学
95,95,山西大学
96,96,燕山大学
97,97,首都医科大学
98,98,新疆大学
99,99,南方医科大学
100,99,浙江工业大学
101,101,江南大学
102,102,安徽大学
103,102,南京工业大学
104,104,海南大学
105,105,深圳大学
106,105,浙江师范大学
107,105,太原理工大学
108,108,内蒙古大学
109,109,河北大学
110,110,辽宁大学
111,111,东北财经大学
112,112,天津师范大学
113,113,河南大学
114,114,安徽师范大学
115,115,石河子大学
116,115,西南政法大学
117,117,北京中医药大学
118,118,昆明理工大学
119,119,贵州大学
120,120,杭州电子科技大学
121,120,上海理工大学
122,122,成都理工大学
123,123,天津医科大学
124,124,湘潭大学
125,125,扬州大学
126,125,中国药科大学
127,127,西北师范大学
128,128,黑龙江大学
129,128,宁夏大学
130,130,河北工业大学
131,131,山东师范大学
132,131,福建农林大学
133,133,江苏大学
134,134,四川农业大学
135,135,湖北大学
136,136,上海师范大学
137,137,西安理工大学
138,138,首都经济贸易大学
139,139,青海大学
140,139,哈尔滨医科大学
141,141,中国医科大学
142,141,东北农业大学
143,143,西安建筑科技大学
144,144,西藏大学
145,145,广西师范大学
146,146,长春理工大学
147,147,山东农业大学
148,148,湖南农业大学
149,149,大连海事大学
150,150,汕头大学
151,151,广州中医药大学
152,151,江西师范大学
153,151,中北大学
154,154,延边大学
155,154,河北师范大学
156,154,山东科技大学
157,157,上海中医药大学
158,157,河南农业大学
159,159,江西财经大学
160,160,华侨大学
161,160,南京林业大学
162,162,重庆医科大学
163,163,青岛大学
164,164,南京医科大学
165,165,广州大学
166,166,河南理工大学
167,167,哈尔滨理工大学
168,168,南京中医药大学
169,168,河北农业大学
170,170,长沙理工大学
171,170,北京语言大学
172,172,华东政法大学
173,173,青岛科技大学
174,174,广东工业大学
175,175,武汉科技大学
176,176,兰州交通大学
177,176,辽宁工程技术大学
178,178,天津工业大学
179,179,宁波大学
180,179,沈阳农业大学
181,181,哈尔滨师范大学
182,181,南京邮电大学
183,183,济南大学
184,184,天津中医药大学
185,184,东北石油大学
186,186,西南石油大学
187,187,安徽理工大学
188,187,沈阳工业大学
189,189,浙江理工大学
190,190,兰州理工大学
191,191,温州医科大学
192,191,河南师范大学
193,193,杭州师范大学
194,193,内蒙古农业大学
195,195,云南师范大学
196,195,中南民族大学
197,197,河南工业大学
198,198,四川师范大学
199,198,天津理工大学
200,200,西安科技大学
