学校,省份,类别,排名,总分
清华大学,北京,理工,1,96.0
北京大学,北京,综合,2,83.0
浙江大学,浙江,综合,3,80.0
上海交通大学,上海,综合,4,79.0
复旦大学,上海,综合,5,71.0
南京大学,江苏,综合,6,66.0
中国科学技术大学,安徽,理工,7,65.0
哈尔滨工业大学,黑龙江,理工,8,63.0
华中科技大学,湖北,理工,9,63.0
中山大学,广东,综合,10,62.0
东南大学,江苏,综合,11,61.0
天津大学,天津,理工,12,61.0
同济大学,上海,理工,13,60.0
北京航空航天大学,北京,理工,14,60.0
四川大学,四川,综合,15,59.0
武汉大学,湖北,综合,16,59.0
西安交通大学,陕西,综合,17,59.0
南开大学,天津,综合,18,58.0
大连理工大学,辽宁,理工,19,57.0
山东大学,山东,综合,20,56.0
华南理工大学,广东,理工,21,56.0
吉林大学,吉林,综合,22,56.0
厦门大学,福建,综合,23,55.0
北京师范大学,北京,师范,24,55.0
北京理工大学,北京,理工,25,54.0
苏州大学,江苏,综合,26,53.0
中南大学,湖南,综合,27,52.0
北京科技大学,北京,理工,28,52.0
南京航空航天大学,江苏,理工,29,52.0
华东理工大学,上海,理工,30,52.0
湖南大学,湖南,综合,31,51.0
中国人民大学,北京,综合,31,51.0
重庆大学,重庆,综合,33,51.0
华东师范大学,上海,师范,34,51.0
中国地质大学（武汉）,湖北,理工,35,50.0
电子科技大学,四川,理工,36,50.0
西北工业大学,陕西,理工,36,50.0
中国农业大学,北京,农业,38,49.0
中国石油大学（北京）,北京,理工,38,49.0
北京化工大学,北京,理工,40,49.0
北京交通大学,北京,理工,40,49.0
南京理工大学,江苏,理工,42,48.0
华北电力大学,北京,理工,43,48.0
北京邮电大学,北京,理工,44,48.0
西安电子科技大学,陕西,理工,45,48.0
上海大学,上海,综合,46,47.0
武汉理工大学,湖北,理工,46,47.0
东北大学,辽宁,理工,48,47.0
华中师范大学,湖北,师范,48,47.0
东北师范大学,吉林,师范,50,47.0
东华大学,上海,理工,51,47.0
福州大学,福建,理工,52,47.0
兰州大学,甘肃,综合,53,46.0
首都医科大学,北京,医药,53,46.0
江南大学,江苏,综合,55,46.0
合肥工业大学,安徽,理工,56,46.0
南京医科大学,江苏,医药,57,45.0
中国海洋大学,山东,综合,58,45.0
中国矿业大学,江苏,理工,59,45.0
暨南大学,广东,综合,60,45.0
西南大学,重庆,综合,61,44.0
河海大学,江苏,理工,62,44.0
南京农业大学,江苏,农业,62,44.0
哈尔滨工程大学,黑龙江,理工,64,44.0
华中农业大学,湖北,农业,65,44.0
中国药科大学,江苏,医药,66,44.0
西南交通大学,四川,理工,67,44.0
天津医科大学,天津,医药,68,43.0
南京师范大学,江苏,师范,69,43.0
西北农林科技大学,陕西,农业,69,43.0
西北大学,陕西,综合,71,42.0
江苏大学,江苏,综合,72,42.0
浙江工业大学,浙江,理工,73,42.0
北京林业大学,北京,林业,74,42.0
南方医科大学,广东,医药,75,42.0
南京工业大学,江苏,理工,75,42.0
南京邮电大学,江苏,理工,75,42.0
陕西师范大学,陕西,师范,75,42.0
北京工业大学,北京,理工,79,42.0
燕山大学,河北,理工,80,41.0
华南师范大学,广东,师范,81,41.0
河北工业大学,天津,理工,82,41.0
北京中医药大学,北京,医药,83,41.0
汕头大学,广东,综合,83,41.0
浙江师范大学,浙江,师范,83,41.0
长安大学,陕西,理工,86,41.0
沈阳药科大学,辽宁,医药,87,41.0
湘潭大学,湖南,综合,87,41.0
大连海事大学,辽宁,理工,89,41.0
浙江理工大学,浙江,理工,90,40.0
大连医科大学,辽宁,医药,91,40.0
杭州师范大学,浙江,师范,91,40.0
河北大学,河北,综合,93,40.0
杭州电子科技大学,浙江,理工,94,40.0
中央民族大学,北京,民族,94,40.0
安徽大学,安徽,综合,96,40.0
宁波大学,浙江,综合,97,39.0
山西大学,山西,综合,97,39.0
石家庄铁道大学,河北,理工,97,39.0
扬州大学,江苏,综合,100,39.0
湖北大学,湖北,综合,101,39.0
河北医科大学,河北,医药,102,39.0
温州医科大学,浙江,医药,102,39.0
南京信息工程大学,江苏,理工,104,39.0
深圳大学,广东,综合,104,39.0
首都师范大学,北京,师范,104,39.0
上海理工大学,上海,理工,107,39.0
太原理工大学,山西,理工,108,39.0
浙江工商大学,浙江,财经,108,39.0
华侨大学,福建,综合,110,38.0
湖南师范大学,湖南,师范,110,38.0
广西大学,广西,综合,112,38.0
上海师范大学,上海,师范,112,38.0
东北林业大学,黑龙江,林业,114,38.0
东北农业大学,黑龙江,农业,114,38.0
上海中医药大学,上海,医药,114,38.0
武汉科技大学,湖北,理工,114,38.0
华南农业大学,广东,农业,118,38.0
辽宁大学,辽宁,综合,118,38.0
长沙理工大学,湖南,理工,120,38.0
福建医科大学,福建,医药,120,38.0
